name str,Address str,City str,Postcode str,phone str,Mn str,Tu str,We str,Th str,Fr str,Sa str,Su str,notification str,Location str,Borough str,Latitude str,Longitude str,CommunityBoard str,CouncilDistrict str,CensusTract str,BIN str,BBL str,NTA str
Langston Hughes,89-11 Merrick Boulevard,Long Island City,11426,(718) 591-4343,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,9:00 AM - 9:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.738498, -73.877382)",QUEENS   ,40.703149,-73.862204,7.0,22.0,19.0,4027960008.0,4055200018.0,South Ozone Park                                                           
Briarwood,98-27 Metropolitan Avenue,Ozone Park,11101,(718) 225-8414,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.701022, -73.83211)",QUEENS   ,40.75942,-73.790734,14.0,31.0,598.0,4040420113.0,4097980006.0,College Point                                                              
Cambria Heights,25-01 Jackson Avenue,Flushing,11106,(718) 468-8300,9:00 AM - 9:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.751319, -73.885533)",QUEENS   ,40.687273,-73.819621,10.0,32.0,54.0,4109070030.0,4012810048.0,Flushing                                                                   
Mitchell-Linden,1637 Central Avenue,Bayside,11420,(718) 424-2619,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.75942, -73.731307)",QUEENS   ,40.727126,,12.0,27.0,97204.0,4139570001.0,4088560085.0,Laurelton                                                                  
Lefrak City,69-70 Grand Avenue,Queens Village,11432,(718) 634-4784,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,Closed - Closed,Closed - Closed,,"(40.604487, -73.752641)",QUEENS   ,40.772173,-73.731307,7.0,26.0,18502.0,4086930010.0,4097980006.0,Cambria Heights                                                            
Peninsula,92-25 Rockaway Beach Boulevard,Rockaway Park,11432,(718) 651-1100,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.600838, -73.820374)",QUEENS   ,40.734936,-73.826582,11.0,24.0,478.0,4113190001.0,4008310015.0,Whitestone                                                                 
South Ozone Park,89-11 Merrick Boulevard,Hollis,11358,(718) 592-7677,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,9:00 AM - 9:00 PM,Closed - Closed,10:00 AM - 6:00 PM,Closed - Closed,Closed - Closed,,"(40.757877, -73.784804)",QUEENS   ,40.664069,-73.864371,10.0,19.0,80301.0,4003630001.0,4001730016.0,Far Rockaway-Bayswater                                                     
Job Information Center,Now a Family Literacy Center,Jamaica,11418,(718) 261-5512,12:00 PM - 8:00 PM,2:30 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.721777, -73.843378)",QUEENS   ,40.5863,-73.717266,12.0,21.0,22001.0,4155590025.0,4155590025.0,Forest Hills                                                               
South Jamaica,95-06 Astoria Boulevard,Richmond Hill,11355,(718) 465-6779,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,2:30 PM - 6:00 PM,12:00 PM - 8:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.783103, -73.777013)",QUEENS   ,40.757826,-73.79203,14.0,19.0,508.0,4000790030.0,4058650082.0,
Ravenswood,155-06 Roosevelt Av. (off Northern Blvd),Jamaica,11412,(718) 641-7086,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.705193, -73.902867)",QUEENS   ,40.735403,-73.820989,13.0,27.0,929.0,4031030043.0,4082760657.0,Ft. Totten-Bay Terrace-Clearview                                           
South Hollis,89-11 Merrick Boulevard,Arverne,11377,(718) 528-2822,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.593066, -73.784341)",QUEENS   ,40.71014,-73.781902,7.0,23.0,145101.0,4096510025.0,4050430011.0,Ozone Park                                                                 
Maspeth,72-33 Vleigh Place,St. Albans,11423,(718) 529-1590,Closed - Closed,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.69554, -73.74138)",QUEENS   ,40.593066,-73.809902,1.0,25.0,49302.0,4066610005.0,4005400030.0,Corona                                                                     
