fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
"['a', 'g']->k",1.0,0.0577363723936527,1.0,1.0,1.0,False,1.0
"['a', 'b', 'g']->d",1.0,0.010645709690481286,1.0,1.0,1.0,False,1.0
"['a', 'b', 'g']->i",1.0,0.0105480794747419,1.0,1.0,1.0,False,1.0
"['a', 'b', 'g', 'h']->f",1.0,0.0075055826953329685,1.0,1.0,1.0,False,1.0
"['a', 'b', 'g', 'j']->e",1.0,0.009944435036240873,1.0,1.0,1.0,False,1.0
"['a', 'b']->k",1.0,0.023681943431719588,1.0,1.0,1.0,False,1.0
"['a', 'b', 'd']->i",1.0,0.012982251661218469,1.0,1.0,1.0,False,1.0
"['a', 'b', 'd', 'h']->f",1.0,0.009173489960956793,1.0,1.0,1.0,False,1.0
"['a', 'b', 'e']->d",1.0,0.011464610435906963,1.0,1.0,1.0,False,1.0
"['a', 'b', 'e']->i",1.0,0.011359470203567534,1.0,1.0,1.0,False,1.0
"['a', 'b', 'e']->j",1.0,0.011129554658954377,1.0,1.0,1.0,False,1.0
"['a', 'b', 'e', 'h']->f",1.0,0.0075055826953329685,1.0,1.0,1.0,False,1.0
"['a', 'b', 'f']->d",1.0,0.01228351118133264,1.0,1.0,1.0,False,1.0
"['a', 'b', 'f']->i",1.0,0.012170860932392835,1.0,1.0,1.0,False,1.0
"['a', 'b', 'h']->c",1.0,0.009865291324665626,1.0,1.0,1.0,False,1.0
"['a', 'b', 'h', 'i']->f",1.0,0.009173489960956793,1.0,1.0,1.0,False,1.0
"['a', 'b', 'i']->d",1.0,0.013102411926757984,1.0,1.0,1.0,False,1.0
"['a', 'c']->k",1.0,0.052002710555122955,1.0,1.0,1.0,False,1.0
"['a', 'c', 'd', 'f']->i",1.0,0.02044771020134717,1.0,1.0,1.0,False,1.0
"['a', 'c', 'e']->j",1.0,0.023681658242372783,1.0,1.0,1.0,False,1.0
"['a', 'c', 'f', 'h']->i",1.0,0.015416423847694705,1.0,1.0,1.0,False,1.0
"['a', 'd']->k",1.0,0.0465160365706947,1.0,1.0,1.0,False,1.0
"['a', 'e']->k",1.0,0.04780455370996051,1.0,1.0,1.0,False,1.0
"['a', 'e', 'h']->j",1.0,0.014411434581393379,1.0,1.0,1.0,False,1.0
"['a', 'f']->k",1.0,0.05330088383880616,1.0,1.0,1.0,False,1.0
"['a', 'h']->k",1.0,0.03631161528538418,1.0,1.0,1.0,False,1.0
"['a', 'i']->k",1.0,0.056086994830773396,1.0,1.0,1.0,False,1.0
"['b', 'c', 'd', 'e', 'g']->k",1.0,0.503356098761043,1.0,1.0,1.0,False,1.0
"['b', 'c', 'e', 'g', 'j']->k",1.0,0.5334194461866875,1.0,1.0,1.0,False,1.0
"['b', 'c', 'f', 'g', 'j']->k",1.0,0.5289720758960349,1.0,1.0,1.0,False,1.0
"['b', 'c', 'g', 'h']->k",1.0,0.5607772665563984,1.0,1.0,1.0,False,1.0
"['b', 'c', 'g', 'i']->k",1.0,0.5881644297882307,1.0,1.0,1.0,False,1.0
"['b', 'd', 'e', 'g', 'j']->k",1.0,0.5195756443423039,1.0,1.0,1.0,False,1.0
"['b', 'd', 'f', 'g']->k",1.0,0.5495761964085016,1.0,1.0,1.0,False,1.0
"['b', 'd', 'g', 'i']->k",1.0,0.5725278748903401,1.0,1.0,1.0,False,1.0
"['b', 'e', 'g', 'h']->k",1.0,0.5430894081485149,1.0,1.0,1.0,False,1.0
"['b', 'f', 'g', 'i']->k",1.0,0.5718945262019871,1.0,1.0,1.0,False,1.0
"['c', 'd', 'e', 'g', 'h']->k",1.0,0.5174572998007052,1.0,1.0,1.0,False,1.0
"['c', 'd', 'f', 'g', 'i', 'j']->k",1.0,0.5276367233239767,1.0,1.0,1.0,False,1.0
"['c', 'e', 'f', 'g', 'h']->k",1.0,0.5104190241145681,1.0,1.0,1.0,False,1.0
"['c', 'f', 'g', 'h', 'i']->k",1.0,0.5259642133976155,1.0,1.0,1.0,False,1.0
"['c', 'f', 'g', 'h', 'j']->k",1.0,0.54607504018336,1.0,1.0,1.0,False,1.0
"['d', 'e', 'g', 'h', 'j']->k",1.0,0.5380003350135132,1.0,1.0,1.0,False,1.0
"['d', 'e', 'g', 'i']->k",1.0,0.592337544403035,1.0,1.0,1.0,False,1.0
"['d', 'f', 'g', 'h']->k",1.0,0.575028103838244,1.0,1.0,1.0,False,1.0
"['f', 'g', 'h', 'i', 'j']->k",1.0,0.5507335009824812,1.0,1.0,1.0,False,1.0
