fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['a']->e,0.3671304562479565,0.018472204398932934,0.9998935736930542,0.9370529327610873,0.9699570815450643,False,0.97158595953882
['a']->j,0.49976402164209166,0.02278571156174003,0.9999631601245188,0.9756795422031473,0.9885550786838341,False,0.9784120600372511
['a']->g,0.6060122653313601,0.02983290021317153,0.9999426935270292,0.9613733905579399,0.9814020028612304,False,0.9818102125271657
['a']->c,0.48679187279871283,0.023186195284893407,0.9998976670125521,0.9399141630901288,0.9756795422031473,False,0.9765646792997009
['a']->i,0.47666667451510514,0.02238066856450871,0.99990176033205,0.9484978540772533,0.9785407725321889,False,0.976573907156883
['a']->f,0.5053852441426425,0.023788906592098535,0.9998935736930542,0.9456366237482118,0.9771101573676682,False,0.9765308589886863
['a']->k,0.822642964949402,0.06246077449001397,0.9999795334025104,0.9871244635193133,0.994277539341917,False,0.9865225082587623
['a']->h,0.2974061169183104,0.014911536182511953,0.9998198939420918,0.9141630901287554,0.9570815450643777,False,0.9663212244907846
['a']->d,0.4292768331518093,0.02095264616742365,0.9998935736930542,0.932761087267525,0.9699570815450643,False,0.9743865452852711
['a']->b,0.17085888367992985,0.007240077887549434,0.9997789607471127,0.8969957081545065,0.9456366237482118,False,0.9605778754689295
"['d', 'g']->k",0.8956189543148472,0.789271261145698,0.9996193212866941,0.8741058655221745,0.9670958512160229,False,0.9028547112008661
"['b', 'd']->c",0.4540293690340582,0.4125004339004727,0.9912771361499465,0.03290414878397718,0.7453505007153076,False,0.6273447319612926
"['b', 'd']->j",0.26122039978027867,0.24789333681698267,0.9950511767270227,0.19456366237482126,0.8526466380543634,False,0.5084820798311838
"['b', 'c', 'h']->f",0.39393811600317774,0.28177074359722437,0.9922595328294457,0.2675250357653791,0.7911301859799714,False,0.6952303304430125
"['b', 'c', 'h']->d",0.5240879963583465,0.3456386144076921,0.9946745913332147,0.2660944206008584,0.8297567954220315,False,0.758992846029144
"['b', 'h']->i",0.31177009270217504,0.25879904602534887,0.9919730004645918,0.07725321888412018,0.7238912732474965,False,0.4983167816657235
"['c', 'g']->k",0.9039153370212767,0.7977046280228783,0.9995538281747275,0.8369098712446352,0.9728183118741058,False,0.9049590579054982
"['b', 'd', 'h']->g",0.4959741998465055,0.29831329353949926,0.9955874015812494,0.3791130185979972,0.8426323319027181,False,0.7440422998053016
"['c', 'd']->k",0.8195148592809942,0.7197677108826399,0.9962832658958946,0.2646638054363376,0.9470672389127325,False,0.8062410448262953
"['b', 'd', 'e', 'f', 'h']->a",0.0128639851476956,0.002560716901720328,0.9902005931219953,0.4921316165951358,0.5708154506437768,False,0.814230847290449
"['b', 'c']->j",0.27137068821830346,0.2574809547917069,0.99527221597991,0.20171673819742486,0.8483547925608012,False,0.5085775644363234
"['b', 'f', 'h']->e",0.4217667574042967,0.2809044226707878,0.9953295224528808,0.28183118741058655,0.8140200286123033,False,0.7234322585302896
"['b', 'f', 'h']->c",0.5241476023654474,0.33328066459907,0.9956324280957264,0.32474964234620896,0.8426323319027181,False,0.7738588633152329
"['b', 'd', 'h']->f",0.3889323503120323,0.26796381072378184,0.9930822900485263,0.2932761087267526,0.7982832618025751,False,0.7059344212655005
"['b', 'e', 'h']->d",0.4344699384493017,0.291743398077743,0.993331982537899,0.3090128755364808,0.7954220314735336,False,0.7264360129253924
"['d', 'h']->k",0.8492202287518326,0.7469322726017881,0.9987597241921322,0.6409155937052932,0.9556509298998569,False,0.8493669636973983
"['b', 'c', 'd']->i",0.505596728855265,0.35088783698182746,0.9935039019568114,0.28326180257510725,0.8426323319027181,False,0.7394155598779918
"['c', 'h']->k",0.8390021853479039,0.7467122641370446,0.9986410179266927,0.6237482117310442,0.9513590844062947,False,0.8409236327821651
"['d', 'h']->j",0.23064939230375214,0.2351988710067863,0.9946009115822522,0.09871244635193122,0.8469241773962803,False,0.4740181262233287
"['c', 'h']->j",0.22432296898525572,0.23810360432434918,0.9942611660639253,0.07868383404864088,0.8397711015736766,False,0.4616573945774676
"['b', 'd', 'h']->e",0.43343280912451065,0.27997777026376286,0.9955587483447639,0.2689556509298999,0.8154506437768241,False,0.7232506377152724
"['b', 'c', 'h']->g",0.5018831373024981,0.31067149196902905,0.9946827779722105,0.330472103004292,0.8397711015736766,False,0.7323144541906154
"['d', 'e', 'h']->c",0.6245910011249431,0.41454221831349275,0.9928817173931286,0.28898426323319015,0.8698140200286123,False,0.8114051521089023
"['c', 'e', 'h']->i",0.5437165737911019,0.37956732907108354,0.9907368179762219,0.29470672389127306,0.8540772532188841,False,0.7610648451713141
"['b', 'f', 'h']->g",0.5207548275169696,0.3065043329585228,0.9957716009586555,0.3104434907010015,0.8569384835479256,False,0.7520934353446082
"['c', 'd', 'h']->i",0.5019015044056498,0.3690413536698101,0.9902619929144639,0.24892703862660948,0.8326180257510729,False,0.7257486231140411
"['b', 'h']->j",0.2636447451918863,0.23383013805342384,0.996217772783928,0.30758226037196035,0.8497854077253219,False,0.513555574461753
"['b', 'f']->j",0.26653682324651484,0.2648370180035989,0.995083923283006,0.10729613733905563,0.8497854077253219,False,0.516724042718163
"['b', 'c', 'f']->i",0.5476550114614341,0.37129173057064496,0.9946909646112063,0.28183118741058655,0.8555078683834049,False,0.7727434804711772
"['b', 'c', 'h']->e",0.42357860321410445,0.2920834013853117,0.995038896768529,0.2188841201716739,0.8068669527896996,False,0.7107579269174215
"['f', 'h']->j",0.27162183098481063,0.27899569457055384,0.9926606781402412,0.1316165951359085,0.8555078683834049,False,0.5122356419055918
"['b', 'e', 'h']->c",0.5310500320925471,0.33600547122812385,0.9958657473071074,0.28612303290414887,0.8426323319027181,False,0.773940977820525
"['b', 'd', 'f']->g",0.4982635805880903,0.30438092498713976,0.9912976027474361,0.2961373390557941,0.8483547925608012,False,0.724876507252908
"['d', 'f']->j",0.25873158494657855,0.2848991140467515,0.9903643259019118,0.0801144492131618,0.8497854077253219,False,0.510723635930977
"['g', 'h']->k",0.8388696189784508,0.728607049878525,0.9972451959779043,0.49928469241773965,0.9556509298998569,False,0.8297830187577161
