fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['c']->e,0.8691028037383178,0.602282339900891,0.9976,0.8066666666666666,0.9533333333333334,False,0.9125241278501717
['d']->e,0.8903841145833337,0.7545649546299469,0.9962666666666666,0.7466666666666667,0.96,False,0.9059506695092848
"['a', 'b']->e",0.488725490196078,0.10011705419056949,0.9986666666666667,0.8400000000000001,0.9266666666666666,False,0.9011132229999973
"['a', 'b']->c",0.16409849799533271,0.015959837303135105,0.9969777777777777,0.6666666666666667,0.8200000000000001,False,0.9218361137965709
"['b', 'c']->a",0.18084490740740733,0.017167890514750317,0.9976,0.7066666666666667,0.86,False,0.9360369294093319
"['a', 'c']->b",0.188140001857926,0.01712131979732301,0.9979555555555556,0.74,0.8666666666666667,False,0.9297645060383621
"['a', 'c']->d",0.18954730925069918,0.01706199996334523,0.9979555555555556,0.74,0.8666666666666667,False,0.9306965625783875
"['b', 'd']->a",0.0641946191474495,0.012523526421788667,0.9930666666666667,0.45999999999999974,0.6933333333333334,False,0.845136391146762
"['a', 'd']->c",0.11465365763432944,0.014869175571172177,0.9958222222222223,0.5933333333333333,0.78,False,0.8998128663745749
"['a', 'd']->b",0.08366293652324941,0.011566377978939335,0.9958222222222223,0.5933333333333333,0.78,False,0.8742867837830833
"['b', 'c']->d",0.17365142802113154,0.019474985017556512,0.9976888888888888,0.7066666666666668,0.8666666666666667,False,0.9274170646095597
"['c', 'd']->a",0.05833092206790147,0.011241475609633289,0.9917333333333334,0.5333333333333333,0.7266666666666667,False,0.8465459669577842
"['b', 'd']->c",0.07311953291722584,0.014938940346041374,0.9931555555555556,0.45999999999999974,0.7,False,0.8543014205264841
"['a', 'b']->d",0.12956443170488563,0.014586508613400828,0.9969777777777777,0.6666666666666667,0.8200000000000001,False,0.9032227528127463
"['c', 'd']->b",0.03574988745256957,0.005043492333448252,0.9918222222222223,0.5466666666666666,0.7266666666666667,False,0.8188740380085487
