fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['voter_id']->last_name,1.0,0.00022067359236299655,1.0,1.0,1.0,False,1.0
['voter_id']->full_phone_num,-613.1988867158116,-0.0003447351076517613,0.999998,0.998,0.999,False,0.9994390579375222
['voter_id']->download_month,-0.964099640209978,-0.0009046769670801869,0.999998,0.998,0.999,False,0.9981569584393861
['voter_id']->ethnic,1.0,0.0006468940427514225,1.0,1.0,1.0,False,1.0
['voter_id']->zip_code,1.0,0.0002856756849223263,1.0,1.0,1.0,False,1.0
['voter_id']->name_suffix,-954.1501086757378,0.00036333627455242823,1.0,1.0,1.0,False,1.0
['voter_id']->birth_place,-378.9309319811155,0.0005734161091399681,1.0,1.0,1.0,False,1.0
['voter_id']->gender,1.0,0.0009682165175473045,1.0,1.0,1.0,False,1.0
['voter_id']->middle_name,-149.9840411329496,-4.594427754833763e-05,0.999998,0.998,0.999,False,0.9997048547626639
['voter_id']->name_prefix,-971.7361246348588,0.00037382201746860577,1.0,1.0,1.0,False,1.0
['voter_id']->race,1.0,0.000642508304779299,1.0,1.0,1.0,False,1.0
['voter_id']->city,1.0,0.0003013719306523832,1.0,1.0,1.0,False,1.0
['voter_reg_num']->name_suffix,-954.1501086757378,0.00036333627455242823,1.0,1.0,1.0,False,1.0
['voter_reg_num']->zip_code,1.0,0.0002856756849223263,1.0,1.0,1.0,False,1.0
['street_address']->name_suffix,-21.765482520418978,0.00745825567546976,0.999998,0.998,1.0,False,0.9917210743270016
['voter_reg_num']->birth_place,-378.9309319811155,0.0005734161091399681,1.0,1.0,1.0,False,1.0
['street_address']->zip_code,1.0,0.012382040589480336,1.0,1.0,1.0,False,1.0
['street_address']->birth_place,-8.253928009392249,0.015885651034702297,0.999989,0.991,0.998,False,0.991670512754885
['last_name']->name_suffix,-1.7545771947278865,0.01293009019351743,0.999937,0.977,1.0,False,0.8490654386689832
['voter_reg_num']->full_phone_num,-613.1988867158116,-0.0003447351076517613,0.999998,0.998,0.999,False,0.9994390579375222
['last_name']->zip_code,0.16573597446241095,0.022542551325972826,0.998672,0.5409999999999999,0.727,False,0.8927471812373479
['street_address']->full_phone_num,-13.764931548066794,0.005284289697863986,0.999984,0.987,0.997,False,0.9959093405268412
['first_name']->name_suffix,-0.8218119839712457,-0.017717248297277055,0.999749,0.967,0.994,False,0.6801549796171547
['voter_reg_num']->gender,1.0,0.0009682165175473045,1.0,1.0,1.0,False,1.0
['voter_reg_num']->city,1.0,0.0003013719306523832,1.0,1.0,1.0,False,1.0
['voter_reg_num']->middle_name,-149.9840411329496,-4.594427754833763e-05,0.999998,0.998,0.999,False,0.9997048547626639
['voter_reg_num']->last_name,1.0,0.00022067359236299655,1.0,1.0,1.0,False,1.0
['voter_reg_num']->name_prefix,-971.7361246348588,0.00037382201746860577,1.0,1.0,1.0,False,1.0
['street_address']->gender,-0.6740305288251545,-0.027547049251560263,0.999928,0.931,0.967,False,0.9315900487301854
['first_name']->zip_code,0.005911672033063531,0.0029738405153615366,0.995642,0.2989999999999998,0.489,False,0.7612604882912601
['street_address']->city,1.0,0.013055109859034797,1.0,1.0,1.0,False,1.0
['voter_reg_num']->ethnic,1.0,0.0006468940427514225,1.0,1.0,1.0,False,1.0
['street_address']->middle_name,-3.3937154827048825,0.0003019220751706575,0.999924,0.9339999999999999,0.971,False,0.9894972677971282
['street_address']->name_prefix,-22.184186986598945,0.0019747968267261884,0.999998,0.998,1.0,False,0.9857847742594211
['zip_code']->name_suffix,-0.29691575533746706,0.019600613295282066,0.9994,0.963,0.996,False,0.5039843299000035
['street_address']->last_name,0.737697188984628,0.00683585503637707,0.99997,0.981,0.989,False,0.9972644737417752
['voter_reg_num']->race,1.0,0.000642508304779299,1.0,1.0,1.0,False,1.0
['last_name']->full_phone_num,-1.098851060553708,0.0063393994216947025,0.999423,0.8069999999999999,0.925,False,0.9076643059698349
['street_address']->ethnic,0.21176193222005713,0.0056603220312776426,0.999992,0.993,0.997,False,0.9783005249825848
['middle_name']->name_suffix,-0.6784433551560329,0.12142191322586393,0.999709,0.972,0.997,False,0.682784080563626
['street_address']->race,0.6035261172705505,0.016281699865282162,0.999994,0.995,0.998,False,0.9890987553805779
['first_name']->gender,0.8587710635584455,0.4589316284441638,0.999706,0.889,0.973,False,0.9195316419902176
['last_name']->name_prefix,-1.780563353736822,0.0678898546183152,0.999981,0.99,1.0,False,0.8994471441968583
['first_name']->full_phone_num,-0.519373722925492,0.0034711142874180867,0.998336,0.7289999999999999,0.862,False,0.8185526135312381
['last_name']->birth_place,-0.540605052514368,0.05898977021423912,0.999659,0.8039999999999999,0.976,False,0.8458785451255393
['last_name']->ethnic,0.36246767642911626,0.08863844617186412,0.999892,0.938,0.982,False,0.8434312311621146
['city']->name_suffix,-0.2554384093401483,0.0008716746981436985,0.998904,0.961,0.995,False,0.4349793046701997
['last_name']->middle_name,-0.2691933602549488,0.0006223206279988291,0.99872,0.5469999999999998,0.734,False,0.8870080379589361
['last_name']->race,0.36881783653110956,0.09197734992554552,0.999852,0.9199999999999999,0.975,False,0.8483009577899144
['last_name']->gender,-0.11370187783908858,-0.037742854048867014,0.999202,0.5879999999999999,0.838,False,0.611725031327973
['first_name']->last_name,0.004272405084683295,0.0014721958844373662,0.99558,0.2969999999999998,0.471,False,0.8115008867925607
['zip_code']->city,0.9933492022052933,0.4320063828160824,0.999908,0.957,0.997,False,0.997987772118125
['register_date']->name_suffix,-0.3806736370087598,0.039928793496295745,0.997753,0.97,0.996,False,0.4576879035521221
['zip_code']->full_phone_num,-0.17229262274496016,0.022782265963716797,0.994165,0.6629999999999999,0.789,False,0.6976308238455183
['first_name']->ethnic,-0.04120791278774161,-0.012422088620898997,0.999484,0.794,0.962,False,0.5819592167042077
['first_name']->birth_place,-0.26770711313692885,0.03623350666052216,0.998866,0.593,0.949,False,0.6899303376307864
