fd,mu,rfi
"['c11', 'c12', 'c13', 'c2', 'c3', 'c4', 'c8']->c10",0.9999999999999725,0.00883987167231437
"['c11', 'c12', 'c13', 'c15', 'c3', 'c4', 'c6', 'c8']->c9",0.9999999999999586,0.006743469610780983
"['c11', 'c12', 'c13', 'c2', 'c3', 'c5', 'c8']->c10",0.9999999999999725,0.00883987167231437
"['c11', 'c12', 'c13', 'c15', 'c3', 'c5', 'c6', 'c8']->c9",0.9999999999999586,0.006743469610780983
"['c11', 'c13', 'c3', 'c7', 'c8', 'c1']->c6",0.999999999999927,0.0016666196775992903
"['c11', 'c13', 'c14', 'c3', 'c4', 'c6', 'c8']->c9",0.9999999999999672,0.008538192111862353
"['c11', 'c13', 'c14', 'c3', 'c5', 'c6', 'c8']->c9",0.9999999999999672,0.008538192111862353
"['c11', 'c13', 'c2', 'c3', 'c4', 'c8', 'c9']->c10",0.9999999999999744,0.00946548870039432
"['c11', 'c13', 'c15', 'c2', 'c3', 'c4', 'c8']->c10",0.9999999999999681,0.007620300301362071
"['c11', 'c13', 'c2', 'c3', 'c5', 'c8', 'c9']->c10",0.9999999999999744,0.00946548870039432
"['c11', 'c13', 'c15', 'c2', 'c3', 'c5', 'c8']->c10",0.9999999999999681,0.007620300301362071
"['c11', 'c3', 'c4', 'c7', 'c8']->c9",0.9999999999999644,0.007822851887962168
"['c11', 'c3', 'c5', 'c7', 'c8']->c9",0.9999999999999644,0.007822851887962168
"['c13', 'c3', 'c4', 'c1']->c9",0.999999999999949,0.005469005936719062
"['c13', 'c2', 'c3', 'c4', 'c7', 'c1']->c12",0.9999999999992506,0.0005784187776012306
"['c13', 'c3', 'c4', 'c7', 'c8', 'c1']->c6",0.9999999999998559,0.0008484442824296945
"['c13', 'c3', 'c5', 'c1']->c9",0.999999999999949,0.005469005936719062
"['c13', 'c2', 'c3', 'c5', 'c7', 'c1']->c12",0.9999999999992506,0.0005784187776012306
"['c13', 'c3', 'c5', 'c7', 'c8', 'c1']->c6",0.9999999999998559,0.0008484442824296945
"['c13', 'c2', 'c3', 'c7', 'c1']->c9",0.9999999999998913,0.002563659236521798
"['c13', 'c3', 'c8', 'c1']->c10",0.9999999999999841,0.015309947353142062
"['c13', 'c14', 'c2', 'c3', 'c4', 'c6', 'c8']->c9",0.9999999999999556,0.006276266034830336
"['c13', 'c14', 'c2', 'c3', 'c5', 'c6', 'c8']->c9",0.9999999999999556,0.006276266034830336
"['c10', 'c13', 'c14', 'c2', 'c3', 'c7']->c9",0.9999999999999677,0.008637734687281573
"['c13', 'c14', 'c3', 'c6', 'c7']->c9",0.9999999999999639,0.007754175675926511
"['c13', 'c14', 'c3', 'c7', 'c8']->c9",0.9999999999999569,0.006477714748963859
"['c10', 'c13', 'c14', 'c15', 'c3', 'c7']->c9",0.9999999999999695,0.009139276369250271
"['c13', 'c3', 'c4', 'c7', 'c8']->c9",0.999999999999906,0.0029692865384781664
"['c13', 'c3', 'c4', 'c7', 'c8']->c10",0.9999999999999448,0.004407051945659379
"['c13', 'c2', 'c3', 'c4', 'c6', 'c8']->c10",0.9999999999999765,0.010332617401751287
"['c13', 'c15', 'c2', 'c3', 'c4', 'c6', 'c8']->c9",0.9999999999999475,0.005315143478119122
"['c13', 'c3', 'c5', 'c7', 'c8']->c9",0.999999999999906,0.0029692865384781664
"['c13', 'c3', 'c5', 'c7', 'c8']->c10",0.9999999999999448,0.004407051945659379
"['c13', 'c2', 'c3', 'c5', 'c6', 'c8']->c10",0.9999999999999765,0.010332617401751287
"['c13', 'c15', 'c2', 'c3', 'c5', 'c6', 'c8']->c9",0.9999999999999475,0.005315143478119122
"['c10', 'c12', 'c14', 'c2', 'c3', 'c4', 'c6', 'c8']->c9",0.9999999999999845,0.018043636494604942
"['c10', 'c12', 'c14', 'c2', 'c3', 'c5', 'c6', 'c8']->c9",0.9999999999999845,0.018043636494604942
"['c12', 'c3', 'c4', 'c7', 'c8']->c9",0.999999999999968,0.008716040101582556
"['c10', 'c12', 'c15', 'c2', 'c3', 'c4', 'c6', 'c8']->c9",0.9999999999999815,0.015118692823952617
"['c12', 'c3', 'c5', 'c7', 'c8']->c9",0.999999999999968,0.008716040101582556
"['c10', 'c12', 'c15', 'c2', 'c3', 'c5', 'c6', 'c8']->c9",0.9999999999999815,0.015118692823952617
"['c14', 'c3', 'c4', 'c1']->c9",0.9999999999999839,0.017311804732489167
"['c14', 'c3', 'c5', 'c1']->c9",0.9999999999999839,0.017311804732489167
"['c14', 'c2', 'c3', 'c7', 'c1']->c9",0.999999999999962,0.007330939408258796
"['c14', 'c2', 'c3', 'c6', 'c1']->c9",0.9999999999999875,0.022391674904475023
"['c14', 'c3', 'c8', 'c1']->c10",0.9999999999999952,0.051665977673044816
"['c3', 'c4', 'c6', 'c1']->c9",0.9999999999999778,0.012556160264075134
"['c3', 'c4', 'c6', 'c1']->c10",0.999999999999987,0.018636091673227217
"['c3', 'c4', 'c8', 'c1']->c9",0.9999999999999755,0.011349264622709465
"['c3', 'c4', 'c8', 'c1']->c10",0.9999999999999856,0.016846368772353792
"['c15', 'c3', 'c4', 'c1']->c9",0.9999999999999806,0.014376489990626684
"['c3', 'c5', 'c6', 'c1']->c9",0.9999999999999778,0.012556160264075134
"['c3', 'c5', 'c6', 'c1']->c10",0.999999999999987,0.018636091673227217
"['c3', 'c5', 'c8', 'c1']->c9",0.9999999999999755,0.011349264622709465
"['c3', 'c5', 'c8', 'c1']->c10",0.9999999999999856,0.016846368772353792
"['c15', 'c3', 'c5', 'c1']->c9",0.9999999999999806,0.014376489990626684
"['c3', 'c6', 'c7', 'c1']->c9",0.9999999999999675,0.008557816826787246
"['c3', 'c6', 'c7', 'c1']->c10",0.9999999999999809,0.01270463131294286
"['c3', 'c7', 'c8', 'c1']->c9",0.9999999999999638,0.0076929749604827125
"['c3', 'c7', 'c8', 'c1']->c10",0.9999999999999787,0.011423573063808812
"['c15', 'c3', 'c7', 'c1']->c9",0.9999999999999709,0.009596869239248629
"['c3', 'c8', 'c9', 'c1']->c10",0.9999999999999958,0.057825184509613825
"['c14', 'c3', 'c4', 'c7', 'c8']->c9",0.9999999999999685,0.00883992527036026
"['c10', 'c14', 'c3', 'c4', 'c7']->c9",0.9999999999999808,0.014561951433398779
"['c10', 'c14', 'c15', 'c2', 'c3', 'c4', 'c6', 'c8']->c9",0.9999999999999812,0.014908513229271558
"['c14', 'c3', 'c5', 'c7', 'c8']->c9",0.9999999999999685,0.00883992527036026
"['c10', 'c14', 'c3', 'c5', 'c7']->c9",0.9999999999999808,0.014561951433398779
"['c10', 'c14', 'c15', 'c2', 'c3', 'c5', 'c6', 'c8']->c9",0.9999999999999812,0.014908513229271558
"['c2', 'c3', 'c4', 'c7', 'c8']->c10",0.9999999999999748,0.009645639971320064
"['c3', 'c4', 'c6', 'c7', 'c8']->c10",0.9999999999999818,0.013367679454592274
"['c15', 'c3', 'c4', 'c7', 'c8']->c9",0.999999999999963,0.0075490987663859865
"['c15', 'c3', 'c4', 'c7', 'c8']->c10",0.9999999999999782,0.011201711071172515
"['c2', 'c3', 'c5', 'c7', 'c8']->c10",0.9999999999999748,0.009645639971320064
"['c3', 'c5', 'c6', 'c7', 'c8']->c10",0.9999999999999818,0.013367679454592274
"['c15', 'c3', 'c5', 'c7', 'c8']->c9",0.999999999999963,0.0075490987663859865
"['c15', 'c3', 'c5', 'c7', 'c8']->c10",0.9999999999999782,0.011201711071172515
['c4']->c5,0.9999999999999999,0.9982967416522328
['c5']->c4,0.9999999999999999,0.9982967416522328
