fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
"['a', 'g']->k",1.0,1.0,1.0,1.0,False,0.0577363723936527
"['a', 'b', 'g']->d",1.0,1.0,1.0,1.0,False,0.010645709690481286
"['a', 'b', 'g']->i",1.0,1.0,1.0,1.0,False,0.0105480794747419
"['a', 'b', 'g', 'h']->f",1.0,1.0,1.0,1.0,False,0.0075055826953329685
"['a', 'b', 'g', 'j']->e",1.0,1.0,1.0,1.0,False,0.009944435036240873
"['a', 'b']->k",1.0,1.0,1.0,1.0,False,0.023681943431719588
"['a', 'b', 'd']->i",1.0,1.0,1.0,1.0,False,0.012982251661218469
"['a', 'b', 'd', 'h']->f",1.0,1.0,1.0,1.0,False,0.009173489960956793
"['a', 'b', 'e']->d",1.0,1.0,1.0,1.0,False,0.011464610435906963
"['a', 'b', 'e']->i",1.0,1.0,1.0,1.0,False,0.011359470203567534
"['a', 'b', 'e']->j",1.0,1.0,1.0,1.0,False,0.011129554658954377
"['a', 'b', 'e', 'h']->f",1.0,1.0,1.0,1.0,False,0.0075055826953329685
"['a', 'b', 'f']->d",1.0,1.0,1.0,1.0,False,0.01228351118133264
"['a', 'b', 'f']->i",1.0,1.0,1.0,1.0,False,0.012170860932392835
"['a', 'b', 'h']->c",1.0,1.0,1.0,1.0,False,0.009865291324665626
"['a', 'b', 'h', 'i']->f",1.0,1.0,1.0,1.0,False,0.009173489960956793
"['a', 'b', 'i']->d",1.0,1.0,1.0,1.0,False,0.013102411926757984
"['a', 'c']->k",1.0,1.0,1.0,1.0,False,0.052002710555122955
"['a', 'c', 'd', 'f']->i",1.0,1.0,1.0,1.0,False,0.02044771020134717
"['a', 'c', 'e']->j",1.0,1.0,1.0,1.0,False,0.023681658242372783
"['a', 'c', 'f', 'h']->i",1.0,1.0,1.0,1.0,False,0.015416423847694705
"['a', 'd']->k",1.0,1.0,1.0,1.0,False,0.0465160365706947
"['a', 'e']->k",1.0,1.0,1.0,1.0,False,0.04780455370996051
"['a', 'e', 'h']->j",1.0,1.0,1.0,1.0,False,0.014411434581393379
"['a', 'f']->k",1.0,1.0,1.0,1.0,False,0.05330088383880616
"['a', 'h']->k",1.0,1.0,1.0,1.0,False,0.03631161528538418
"['a', 'i']->k",1.0,1.0,1.0,1.0,False,0.056086994830773396
"['b', 'c', 'd', 'e', 'g']->k",1.0,1.0,1.0,1.0,False,0.503356098761043
"['b', 'c', 'e', 'g', 'j']->k",1.0,1.0,1.0,1.0,False,0.5334194461866875
"['b', 'c', 'f', 'g', 'j']->k",1.0,1.0,1.0,1.0,False,0.5289720758960349
"['b', 'c', 'g', 'h']->k",1.0,1.0,1.0,1.0,False,0.5607772665563984
"['b', 'c', 'g', 'i']->k",1.0,1.0,1.0,1.0,False,0.5881644297882307
"['b', 'd', 'e', 'g', 'j']->k",1.0,1.0,1.0,1.0,False,0.5195756443423039
"['b', 'd', 'f', 'g']->k",1.0,1.0,1.0,1.0,False,0.5495761964085016
"['b', 'd', 'g', 'i']->k",1.0,1.0,1.0,1.0,False,0.5725278748903401
"['b', 'e', 'g', 'h']->k",1.0,1.0,1.0,1.0,False,0.5430894081485149
"['b', 'f', 'g', 'i']->k",1.0,1.0,1.0,1.0,False,0.5718945262019871
"['c', 'd', 'e', 'g', 'h']->k",1.0,1.0,1.0,1.0,False,0.5174572998007052
"['c', 'd', 'f', 'g', 'i', 'j']->k",1.0,1.0,1.0,1.0,False,0.5276367233239767
"['c', 'e', 'f', 'g', 'h']->k",1.0,1.0,1.0,1.0,False,0.5104190241145681
"['c', 'f', 'g', 'h', 'i']->k",1.0,1.0,1.0,1.0,False,0.5259642133976155
"['c', 'f', 'g', 'h', 'j']->k",1.0,1.0,1.0,1.0,False,0.54607504018336
"['d', 'e', 'g', 'h', 'j']->k",1.0,1.0,1.0,1.0,False,0.5380003350135132
"['d', 'e', 'g', 'i']->k",1.0,1.0,1.0,1.0,False,0.592337544403035
"['d', 'f', 'g', 'h']->k",1.0,1.0,1.0,1.0,False,0.575028103838244
"['f', 'g', 'h', 'i', 'j']->k",1.0,1.0,1.0,1.0,False,0.5507335009824812
