fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['a']->d,1.0,1.0,1.0,1.0,True,9.00390872971002e-14
['a']->f,1.0,1.0,1.0,1.0,True,9.847678228425139e-14
['a']->c,1.0,1.0,1.0,1.0,True,5.162537064506978e-14
['a']->m,1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
['a']->g,1.0,1.0,1.0,1.0,True,1.7763568394002505e-15
['a']->b,1.0,1.0,1.0,1.0,True,-7.327471962526033e-15
['a']->e,1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
['a']->j,1.0,1.0,1.0,1.0,True,3.774758283725532e-15
['a']->k,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['a']->l,1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
['a']->h,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['a']->i,1.0,1.0,1.0,1.0,True,-4.6629367034256575e-15
"['d', 'f']->g",1.0,1.0,1.0,1.0,False,0.006713256531721945
"['d', 'f']->b",1.0,1.0,1.0,1.0,False,0.007420073133200478
"['d', 'f']->j",1.0,1.0,1.0,1.0,False,0.006845400164916859
"['d', 'f']->k",1.0,1.0,1.0,1.0,False,0.007080366065122301
"['d', 'f']->h",1.0,1.0,1.0,1.0,False,0.007968429193501936
"['d', 'f']->i",1.0,1.0,1.0,1.0,False,0.006993686426414625
"['d', 'f', 'm']->a",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['d', 'f', 'm']->c",1.0,1.0,1.0,1.0,True,5.162537064506978e-14
"['d', 'f', 'm']->e",1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
"['d', 'f', 'm']->l",1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
"['d', 'e', 'f']->a",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['d', 'e', 'f']->c",1.0,1.0,1.0,1.0,True,5.162537064506978e-14
"['d', 'e', 'f']->m",1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
"['d', 'e', 'f']->l",1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
"['d', 'f', 'l']->a",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['d', 'f', 'l']->c",1.0,1.0,1.0,1.0,True,5.162537064506978e-14
"['d', 'f', 'l']->m",1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
"['d', 'f', 'l']->e",1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
"['c', 'd']->a",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['c', 'd']->f",1.0,1.0,1.0,1.0,True,9.847678228425139e-14
"['c', 'd']->m",1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
"['c', 'd']->g",1.0,1.0,1.0,1.0,True,1.7763568394002505e-15
"['c', 'd']->e",1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
"['c', 'd']->j",1.0,1.0,1.0,1.0,True,3.774758283725532e-15
"['c', 'd']->k",1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
"['c', 'd']->l",1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
"['c', 'd']->h",1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
"['c', 'd']->i",1.0,1.0,1.0,1.0,True,-4.6629367034256575e-15
"['b', 'd', 'g', 'i', 'm']->k",1.0,1.0,1.0,1.0,False,0.03540183032561195
"['d', 'g', 'j', 'm']->e",1.0,1.0,1.0,1.0,False,0.07041487858866047
"['d', 'g', 'l', 'm']->e",1.0,1.0,1.0,1.0,False,0.05414551439836934
"['b', 'd', 'j', 'm']->e",1.0,1.0,1.0,1.0,False,0.06267980510317894
"['b', 'd', 'h', 'k', 'm']->g",1.0,1.0,1.0,1.0,False,0.026853026126882007
"['b', 'd', 'l', 'm']->e",1.0,1.0,1.0,1.0,False,0.04641044091288793
"['d', 'k', 'm']->i",1.0,1.0,1.0,1.0,False,0.08463863621422019
"['d', 'g', 'h', 'l']->e",1.0,1.0,1.0,1.0,False,0.07814995207414188
"['d', 'g', 'i', 'l']->e",1.0,1.0,1.0,1.0,False,0.07041487858866047
"['b', 'd', 'e']->j",1.0,1.0,1.0,1.0,False,0.08393681362584215
"['b', 'd', 'e', 'h', 'k']->g",1.0,1.0,1.0,1.0,False,0.04027953919032201
"['b', 'd', 'e', 'i', 'k']->m",1.0,1.0,1.0,1.0,False,0.029148773368498526
"['b', 'd', 'i', 'k', 'l']->m",1.0,1.0,1.0,1.0,False,0.023319018694798355
"['b', 'd', 'h', 'i', 'k']->g",1.0,1.0,1.0,1.0,False,0.04027953919032201
"['b', 'd', 'l']->j",1.0,1.0,1.0,1.0,False,0.05655521296619026
"['b', 'd', 'i', 'l']->e",1.0,1.0,1.0,1.0,False,0.04641044091288793
"['d', 'e', 'k']->j",1.0,1.0,1.0,1.0,False,0.13502107938116814
"['d', 'k', 'l']->j",1.0,1.0,1.0,1.0,False,0.09078221379075524
"['c', 'f', 'm']->h",1.0,1.0,1.0,1.0,False,0.049119874370829986
"['c', 'e', 'f', 'm']->g",1.0,1.0,1.0,1.0,False,0.0213479078926202
"['c', 'e', 'f', 'm']->j",1.0,1.0,1.0,1.0,False,0.0214322063181841
"['c', 'e', 'f', 'm']->l",1.0,1.0,1.0,1.0,False,0.022747828114435542
"['c', 'f', 'k', 'm']->j",1.0,1.0,1.0,1.0,False,0.028277606483097073
"['c', 'f', 'k', 'm']->l",1.0,1.0,1.0,1.0,False,0.029927907122465958
"['c', 'f', 'l', 'm']->j",1.0,1.0,1.0,1.0,False,0.03601901247145145
"['c', 'f', 'i', 'm']->j",1.0,1.0,1.0,1.0,False,0.028277606483097073
"['c', 'f', 'i', 'm']->l",1.0,1.0,1.0,1.0,False,0.029927907122465958
"['c', 'f', 'g', 'j']->m",1.0,1.0,1.0,1.0,False,0.01896956053967125
"['c', 'f', 'g', 'k']->e",1.0,1.0,1.0,1.0,False,0.023205220456443243
"['c', 'f', 'g', 'l']->m",1.0,1.0,1.0,1.0,False,0.01896956053967125
"['c', 'f', 'g', 'l']->j",1.0,1.0,1.0,1.0,False,0.0214322063181841
