fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
"['f', 'g']->l",1.0,1.0,1.0,1.0,False,0.04327490479163909
"['e', 'f', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['e', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['e', 'f', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['e', 'f', 'g', 'i']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['e', 'f', 'g', 'i']->b",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['c', 'e', 'f', 'g']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['c', 'e', 'f', 'g']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['c', 'e', 'f', 'g']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['c', 'e', 'f', 'g']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['d', 'e', 'f', 'g']->b",1.0,1.0,1.0,1.0,False,0.0070696054074848025
"['f', 'g', 'i']->m",1.0,1.0,1.0,1.0,False,0.006420603310552497
"['b', 'f', 'g', 'i']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['b', 'f', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['b', 'f', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['b', 'f', 'g', 'i']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['d', 'f', 'g', 'i']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['d', 'f', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['d', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['d', 'f', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['d', 'f', 'g', 'i']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['d', 'f', 'g', 'i']->b",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['b', 'f', 'g', 'h', 'm']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['b', 'f', 'g', 'h', 'm']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'f', 'g', 'h', 'm']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['d', 'f', 'g', 'h']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['d', 'f', 'g', 'h']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['d', 'f', 'g', 'h']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['d', 'f', 'g', 'h']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['d', 'f', 'g', 'h']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['f', 'g', 'h', 'm']->e",1.0,1.0,1.0,1.0,False,0.002535190181500613
"['f', 'g', 'h', 'm']->j",1.0,1.0,1.0,1.0,False,0.003453517350366364
"['c', 'f', 'g']->b",1.0,1.0,1.0,1.0,False,0.0070696054074848025
"['c', 'f', 'g']->m",1.0,1.0,1.0,1.0,False,0.006420603310552497
"['b', 'f', 'g', 'j']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['b', 'f', 'g', 'j']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['b', 'f', 'g', 'j']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'f', 'g', 'j']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['b', 'f', 'g', 'j']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['b', 'f', 'g', 'j']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['d', 'f', 'g', 'j']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['d', 'f', 'g', 'j']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['d', 'f', 'g', 'j']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['d', 'f', 'g', 'j']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['d', 'f', 'g', 'j']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['d', 'f', 'g', 'j']->b",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['d', 'f', 'g', 'j']->m",1.0,1.0,1.0,1.0,True,2.6645352591003757e-15
"['f', 'g', 'j', 'm']->e",1.0,1.0,1.0,1.0,False,0.002535190181500613
"['f', 'g', 'j', 'm']->h",1.0,1.0,1.0,1.0,False,0.002994240404300186
"['e', 'g']->l",1.0,1.0,1.0,1.0,False,0.04327490479163909
"['e', 'g', 'i']->d",1.0,1.0,1.0,1.0,False,0.006339458493676231
"['e', 'g', 'i']->m",1.0,1.0,1.0,1.0,False,0.006420603310552497
"['b', 'e', 'g', 'i']->f",1.0,1.0,1.0,1.0,True,1.3866685577568205e-13
"['b', 'e', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'e', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['b', 'e', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['b', 'e', 'g', 'i']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['e', 'g', 'h']->f",1.0,1.0,1.0,1.0,False,0.0024377037086970033
"['e', 'g', 'h']->j",1.0,1.0,1.0,1.0,False,0.003453517350366364
"['e', 'g', 'h']->m",1.0,1.0,1.0,1.0,False,0.006420603310552497
"['b', 'e', 'g', 'h']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'e', 'g', 'h']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['d', 'e', 'g', 'h']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['d', 'e', 'g', 'h']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['b', 'c', 'e', 'g']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['b', 'c', 'e', 'g']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'c', 'e', 'g']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['b', 'c', 'e', 'g']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['b', 'c', 'e', 'g']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['c', 'e', 'g', 'm']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['c', 'e', 'g', 'm']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['c', 'e', 'g', 'm']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['c', 'e', 'g', 'm']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['c', 'e', 'g', 'm']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['b', 'e', 'g', 'j']->f",1.0,1.0,1.0,1.0,True,1.3866685577568205e-13
"['b', 'e', 'g', 'j']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['b', 'e', 'g', 'j']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'e', 'g', 'j']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['b', 'e', 'g', 'j']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['b', 'e', 'g', 'j']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['d', 'e', 'g', 'j', 'm']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['d', 'e', 'g', 'j', 'm']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['d', 'e', 'g', 'j', 'm']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['e', 'g', 'j', 'm']->f",1.0,1.0,1.0,1.0,False,0.0024377037086970033
"['e', 'g', 'j', 'm']->h",1.0,1.0,1.0,1.0,False,0.002994240404300186
"['a', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['a', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['a', 'g', 'i']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['a', 'g', 'i']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['a', 'g', 'i']->m",1.0,1.0,1.0,1.0,True,2.6645352591003757e-15
"['g', 'h', 'i']->f",1.0,1.0,1.0,1.0,True,1.3866685577568205e-13
"['g', 'h', 'i']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['g', 'h', 'i']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['g', 'h', 'i']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['g', 'h', 'i']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['g', 'h', 'i']->b",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['g', 'h', 'i']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['g', 'h', 'i']->l",1.0,1.0,1.0,1.0,True,2.220446049250313e-16
"['g', 'h', 'i']->m",1.0,1.0,1.0,1.0,True,2.6645352591003757e-15
"['c', 'g', 'i']->f",1.0,1.0,1.0,1.0,True,1.3866685577568205e-13
"['c', 'g', 'i']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['c', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['c', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['c', 'g', 'i']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['c', 'g', 'i']->b",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['c', 'g', 'i']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['c', 'g', 'i']->m",1.0,1.0,1.0,1.0,True,2.6645352591003757e-15
"['g', 'i', 'j']->f",1.0,1.0,1.0,1.0,True,1.3866685577568205e-13
"['g', 'i', 'j']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['g', 'i', 'j']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['g', 'i', 'j']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['g', 'i', 'j']->b",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['g', 'i', 'j']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['g', 'i', 'j']->l",1.0,1.0,1.0,1.0,True,2.220446049250313e-16
"['g', 'i', 'j']->m",1.0,1.0,1.0,1.0,True,2.6645352591003757e-15
"['b', 'g', 'i']->d",1.0,1.0,1.0,1.0,False,0.006339458493676231
"['b', 'g', 'i']->l",1.0,1.0,1.0,1.0,False,0.006135546102821743
"['b', 'g', 'i', 'm']->f",1.0,1.0,1.0,1.0,True,1.3866685577568205e-13
"['b', 'g', 'i', 'm']->e",1.0,1.0,1.0,1.0,True,1.2279066652354231e-13
"['b', 'g', 'i', 'm']->a",1.0,1.0,1.0,1.0,True,9.348077867343818e-14
"['b', 'g', 'i', 'm']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['b', 'g', 'i', 'm']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['b', 'g', 'i', 'm']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['d', 'g', 'i', 'm']->e",1.0,1.0,1.0,1.0,False,0.002535190181500613
"['g', 'i', 'm']->l",1.0,1.0,1.0,1.0,False,0.012271092205643486
"['a', 'g']->f",1.0,1.0,1.0,1.0,False,0.0024377037086970033
"['a', 'g']->e",1.0,1.0,1.0,1.0,False,0.002535190181500613
"['a', 'g']->b",1.0,1.0,1.0,1.0,False,0.0070696054074848025
"['a', 'g']->l",1.0,1.0,1.0,1.0,False,0.006135546102821743
"['a', 'g', 'h']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['a', 'g', 'h']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['a', 'g', 'h']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['a', 'g', 'h']->m",1.0,1.0,1.0,1.0,True,2.6645352591003757e-15
"['a', 'c', 'g']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['a', 'c', 'g']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['a', 'c', 'g']->j",1.0,1.0,1.0,1.0,True,3.2862601528904634e-14
"['a', 'c', 'g']->m",1.0,1.0,1.0,1.0,True,2.6645352591003757e-15
"['a', 'g', 'j']->i",1.0,1.0,1.0,1.0,True,1.0891287871572786e-13
"['a', 'g', 'j']->h",1.0,1.0,1.0,1.0,True,5.573319583618286e-14
"['a', 'g', 'j']->c",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['a', 'g', 'j']->d",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
