fd,mu,rfi,g1,g2,g3,mu_is_key,rfi_fi
['c']->k,-0.044216544937689006,-0.007748802008402111,0.9999932183804553,0.8683701360523326,0.9553146402137527,False,0.8588638173675951
['c']->b,0.07330924391812998,0.017694768296915075,0.999982281014636,0.6819815116243358,0.8677866158901754,False,0.7941106708141934
['c']->o,0.09449826097460157,0.03145782315012524,0.999986725380602,0.7510211602837751,0.9056540032554283,False,0.7132362731247628
['c']->e,0.05831143195137212,0.013954696142977174,0.9999707286813699,0.5445778692300605,0.7668376278369828,False,0.8003450244148244
['c']->h,0.3069383338638917,0.08373348492150967,0.999980817165744,0.6553545652774792,0.8520622830994133,False,0.8281470569152262
['c']->j,0.8980714298267551,0.29868832887231955,0.9999982946914969,0.9643131353459661,0.9873468259574337,False,0.9656438978002306
['c']->m,0.033193049087483883,0.006828467566512897,0.9999719208881994,0.5546205583366604,0.7764196431313535,False,0.8363920735449207
['c']->i,0.8595017488018701,0.2008984919316803,0.999998536151108,0.9715610699917079,0.9898037529559903,False,0.9676841391387373
['c']->g,0.057448757936860106,0.014375105321731807,0.9999674821814432,0.51349774269832,0.733914806056325,False,0.8098174769750024
['c']->f,0.31607670199226623,0.08651504552232148,0.9999829940750499,0.6863425570467737,0.8689536562144897,False,0.8218700193282148
['c']->a,0.1919010735343153,0.0346838439801328,0.9999695930666367,0.5340745063112312,0.7556586099935505,False,0.8927791594368902
['a']->k,0.010364622483316377,0.04721553938489444,0.9968557638778008,0.0009213476244587238,0.9167101747489328,False,0.15029450450325918
['a']->i,0.0014618290156840352,0.004776209282649301,0.9942876428419528,0.00042996222474744883,0.8542735173981143,False,0.012433820765215948
['a']->b,0.030858112949478378,0.04773946285744245,0.9902671384728359,6.14231749638261e-05,0.6973987285402783,False,0.05438219917606975
['a']->o,0.10557525582157601,0.12276448490494694,0.9932115422436499,0.052762507294002,0.7591904425539756,False,0.124585385348388
"['a', 'g']->c",0.0005743008028767926,0.0026141009905819024,0.9976969337065686,0.0027947544608579733,0.03688461656583031,False,0.5849475341441606
