fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['a']->j,0.49976402164209166,0.5134964281486968,0.9885550786838341,0.8518518518518519,False,0.02278571156174003
['a']->g,0.6060122653313647,0.6212251260952449,0.9814020028612304,0.7592592592592593,False,0.02983290021317153
['a']->d,0.4292768331518093,0.4499549193618273,0.9699570815450643,0.6111111111111112,False,0.02095264616742365
['a']->k,0.822642964949402,0.8225204180959934,0.994277539341917,0.9259259259259259,False,0.06246077449001397
['a']->c,0.48679187279871283,0.497328214128807,0.9756795422031473,0.6851851851851852,False,0.023186195284893407
['a']->h,0.2974061169183104,0.30688290861593076,0.9570815450643777,0.4444444444444444,False,0.014911536182511953
['a']->e,0.3671304562479565,0.39397918204039417,0.9699570815450643,0.6111111111111112,False,0.018472204398932934
['a']->i,0.47666667451510514,0.4885887558246556,0.9785407725321889,0.7222222222222222,False,0.02238066856450871
['a']->b,0.17085888367992985,0.15515936908842462,0.9456366237482118,0.2962962962962963,False,0.007240077887549434
['a']->f,0.5053852441426425,0.5033831865364847,0.9771101573676682,0.7037037037037037,False,0.023788906592098535
"['b', 'c']->k",0.854993425336193,0.8459980975373159,0.9556509298998569,0.9499192245557351,False,0.755586149215484
"['b', 'c', 'h']->d",0.5240879963583465,0.5891777168409744,0.8297567954220315,0.7536231884057971,False,0.3456386144076921
"['b', 'd', 'h']->f",0.3889323503120323,0.4767790007957802,0.7982832618025751,0.6987179487179487,False,0.2679638107237817
"['b', 'd']->c",0.4540293690340582,0.525374053683464,0.7453505007153076,0.7129032258064516,False,0.4125004339004727
"['b', 'd', 'h']->e",0.43343280912451065,0.5028994527033886,0.8154506437768241,0.7243589743589743,False,0.27997777026376275
"['b', 'c']->j",0.27137068821830346,0.3438106411422738,0.8483547925608012,0.8287560581583199,False,0.2574809547917069
"['b', 'd', 'h']->g",0.4959741998465055,0.5382083798571576,0.8426323319027181,0.7649572649572649,False,0.29831329353949926
"['b', 'c', 'h']->f",0.3939381160031781,0.4803944234327497,0.7911301859799714,0.6977225672877847,False,0.28177074359722437
"['d', 'h']->j",0.23064939230375214,0.308992144925705,0.8469241773962803,0.8279742765273312,False,0.2351988710067862
"['b', 'd', 'e', 'f', 'h']->a",0.0128639851476956,0.013596976979837305,0.5708154506437768,0.025974025974025976,False,0.002560716901720217
"['b', 'e', 'h']->d",0.4344699384493017,0.5160792265240228,0.7954220314735336,0.6931330472103004,False,0.291743398077743
"['b', 'c', 'h']->e",0.4235786032141047,0.5024438360501352,0.8068669527896996,0.7204968944099379,False,0.2920834013853117
"['b', 'e', 'h']->c",0.5310500320925469,0.5978059015808687,0.8426323319027181,0.7639484978540773,False,0.33600547122812385
"['b', 'h']->i",0.31177009270217526,0.34030911456334106,0.7238912732474965,0.6887096774193548,False,0.25879904602534876
"['b', 'd']->k",0.8492948947557072,0.8347977138929227,0.9556509298998569,0.95,False,0.7474062324772187
"['b', 'c', 'h']->g",0.5018831373024981,0.5371621190301081,0.8397711015736766,0.7681159420289855,False,0.31067149196902905
"['b', 'e', 'h']->f",0.4048845557840344,0.4825050725195492,0.804005722460658,0.7060085836909872,False,0.2727366863157453
"['d', 'h']->k",0.849220228751832,0.8321759600017614,0.9556509298998569,0.9501607717041801,False,0.7469322726017881
"['c', 'd']->k",0.8195148592809949,0.7879000554957483,0.9470672389127325,0.9416403785488959,False,0.7197677108826398
"['c', 'g']->k",0.9039153370212767,0.8935408415613806,0.9728183118741058,0.9693548387096774,False,0.7977046280228783
"['b', 'd', 'f']->g",0.4982635805880903,0.5252434937031537,0.8483547925608012,0.7749469214437368,False,0.30438092498713976
"['d', 'e', 'h']->c",0.6245910011249431,0.68731013486224,0.8698140200286123,0.8084210526315789,False,0.41454221831349286
"['d', 'g']->k",0.8956189543148472,0.8904067294262727,0.9670958512160229,0.9626623376623377,False,0.789271261145698
"['b', 'c', 'f']->e",0.41423371699528244,0.5040398080297928,0.7968526466380543,0.7084188911704312,False,0.30528214011682486
"['b', 'd', 'f']->e",0.41701205850457257,0.5134543072697849,0.8082975679542204,0.7154989384288747,False,0.29848481737512966
"['b', 'g']->k",0.8677455181636213,0.8376421801889499,0.9628040057224606,0.9579288025889967,False,0.7456498656014353
"['b', 'c', 'd', 'e', 'g']->f",0.5263462907151026,0.5956490009602624,0.8912732474964234,0.7828571428571428,False,0.26190647312740867
"['b', 'c', 'e', 'g']->d",0.610198145686973,0.6658539634400592,0.8869814020028612,0.8034825870646766,False,0.3373453597404951
"['g', 'h']->k",0.838869618978451,0.8106225742206425,0.9556509298998569,0.9503205128205128,False,0.728607049878525
"['b', 'h']->k",0.8275648858304572,0.8078896402554762,0.9527896995708155,0.9467741935483871,False,0.7241962062933577
"['c', 'h']->k",0.8390021853479045,0.824378048353413,0.9513590844062947,0.945859872611465,False,0.7467122641370446
"['b', 'd', 'e']->i",0.5515470556116351,0.6221304996368175,0.8655221745350501,0.7991452991452992,False,0.3557785255578189
"['c', 'd', 'f', 'h']->e",0.5376594100070369,0.6047173041328665,0.882689556509299,0.801452784503632,False,0.31839892633226624
"['b', 'f', 'h']->c",0.5241476023654477,0.5957591638978179,0.8426323319027181,0.7634408602150538,False,0.33328066459907
"['f', 'g']->k",0.8547244933083222,0.8410380928534544,0.9585121602288984,0.9535256410256411,False,0.7557520021337885
"['b', 'c', 'd']->i",0.505596728855265,0.5738409575063078,0.8426323319027181,0.7768762677484787,False,0.35088783698182746
"['b', 'f', 'h']->e",0.42176675740429614,0.5038895943869803,0.8140200286123033,0.7204301075268817,False,0.2809044226707878
"['d', 'f', 'h']->c",0.5975658292878422,0.6706251789508687,0.8483547925608012,0.7849898580121704,False,0.41486543619685856
"['d', 'f', 'h']->i",0.5268900084443564,0.6128277291305221,0.8483547925608012,0.7849898580121704,False,0.37431496722688495
"['c', 'd', 'f', 'h']->g",0.6183316959794023,0.6367186298870751,0.9027181688125894,0.8353510895883777,False,0.33439891912294545
"['c', 'd', 'h']->i",0.5019015044056498,0.5736756163107564,0.8326180257510729,0.7723735408560312,False,0.3690413536698101
"['b', 'f', 'h']->g",0.5207548275169696,0.5528468763468803,0.8569384835479256,0.7849462365591398,False,0.3065043329585228
"['b', 'g', 'h']->e",0.40179056191007645,0.45844292687300564,0.8025751072961373,0.7160493827160493,False,0.27173443361987776
"['b', 'f']->k",0.8104086325364226,0.7891408009626366,0.9427753934191703,0.936,False,0.7121912858053703
"['c', 'f']->k",0.8331316349888218,0.8075823955413909,0.9513590844062947,0.9459459459459459,False,0.732247522861435
"['b', 'd', 'f', 'g', 'h']->a",0.012027243135416366,0.013485009199147085,0.5665236051502146,0.02572347266881029,False,0.0025597984741334567
"['d', 'f']->k",0.8428682188852006,0.8179061115562407,0.9556509298998569,0.950479233226837,False,0.7384074035614139
"['b', 'e', 'f']->c",0.5369729002243119,0.6135540839478159,0.8412017167381974,0.7628205128205128,False,0.35704480130655175
"['b', 'e']->k",0.7981622589254607,0.7807854928304189,0.944206008583691,0.9366883116883117,False,0.6942316819537047
"['f', 'h']->k",0.7939469567090783,0.7481482983229026,0.944206008583691,0.9376996805111821,False,0.6754334695175779
"['b', 'e', 'h']->g",0.5175423546899789,0.5477995175407565,0.8526466380543634,0.778969957081545,False,0.30534996229231604
"['c', 'e']->k",0.812627884907151,0.7881752613740252,0.9470672389127325,0.9401294498381877,False,0.7015882853264959
"['b', 'g', 'h']->f",0.37945181623130186,0.4461199405600582,0.7882689556509299,0.6954732510288066,False,0.26689019359275185
"['b', 'c', 'f']->i",0.5476550114614341,0.6203204679137282,0.8555078683834049,0.7926078028747433,False,0.37129173057064496
"['d', 'e']->k",0.809164653560982,0.7861304340637895,0.944206008583691,0.9366883116883117,False,0.697305481615138
"['b', 'f', 'h']->d",0.42902264726329975,0.5118125998833715,0.7997138769670958,0.6989247311827957,False,0.2881256417031311
"['b', 'd', 'f']->i",0.5184591008133047,0.5923288739014262,0.8526466380543634,0.7813163481953291,False,0.3399339890954655
"['e', 'g']->k",0.8099444539838256,0.7766055799409339,0.9470672389127325,0.9409888357256778,False,0.701299595004921
"['e', 'f', 'i']->k",0.8539832227280184,0.8221735765993503,0.9670958512160229,0.9523809523809523,False,0.5698508633490998
"['e', 'h']->k",0.7428088868419808,0.691239018832273,0.9298998569384835,0.9218500797448166,False,0.6249320855814327
"['b', 'c', 'd', 'e']->g",0.606544885542609,0.6116138415599781,0.9055793991416309,0.8345864661654135,False,0.3049618091824463
"['b', 'h', 'i']->f",0.41904873893951644,0.4948526364125514,0.8168812589413448,0.7270788912579957,False,0.28843495591312207
"['d', 'i']->k",0.8489603857107119,0.8238719345784885,0.9585121602288984,0.9528455284552846,False,0.7297208323354015
"['d', 'j']->k",0.7922029998802181,0.7598515682760595,0.9399141630901288,0.9346811819595645,False,0.7026930450822704
"['b', 'c', 'f', 'i']->d",0.572435266370166,0.6387239946144693,0.8783977110157368,0.7885572139303483,False,0.32922637193473797
"['c', 'i']->k",0.8524743575205065,0.8341025682603572,0.9585121602288984,0.9531502423263328,False,0.7430243387649353
"['h', 'i']->k",0.8135451513861027,0.7664524825048509,0.9527896995708155,0.9473684210526315,False,0.692662775131389
"['b', 'c', 'e', 'f', 'g', 'h']->a",0.013577797009187154,0.01251605211906328,0.5994277539341917,0.027777777777777776,False,0.002254587804358943
"['c', 'f', 'h']->i",0.5596169744425203,0.6355855686320518,0.8597997138769671,0.8004073319755601,False,0.3932300552806393
"['b', 'i']->k",0.8086817831058073,0.7679076288986039,0.9513590844062947,0.9447154471544715,False,0.6804574145794651
"['g', 'i']->k",0.8753562250568352,0.8407407930813265,0.9670958512160229,0.9629032258064516,False,0.7504892356379037
"['d', 'e', 'f', 'h']->g",0.6350542990285355,0.6566032729210514,0.9141630901287554,0.8473282442748091,False,0.328142871614044
"['b', 'c', 'e', 'f']->d",0.6112698399539306,0.6648162222180461,0.8984263233190272,0.8131578947368421,False,0.3218111324118108
"['b', 'h', 'j', 'k']->f",0.341164126772856,0.41421427251076826,0.7610872675250357,0.6800766283524904,False,0.2699847861754242
"['c', 'j']->k",0.7862284469957999,0.7497870457095812,0.9399141630901288,0.9346811819595645,False,0.6932908686190665
"['c', 'e', 'f', 'h']->g",0.6446811958387397,0.6606876172023338,0.9141630901287554,0.849624060150376,False,0.33917589572536566
"['f', 'i', 'j']->k",0.7719419188832664,0.7309047817516042,0.9413447782546495,0.924908424908425,False,0.5733989633766343
"['e', 'i', 'j']->k",0.7648063737042143,0.7269802792102449,0.9399141630901288,0.9214953271028037,False,0.558065926035622
"['e', 'f', 'g', 'h']->c",0.6509129438991226,0.7061488464162669,0.9041487839771102,0.8333333333333334,False,0.36439881478521424
