fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['a']->j,1.0,1.0,1.0,1.0,True,3.774758283725532e-15
['a']->l,1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
['a']->k,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['a']->e,1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
['a']->i,1.0,1.0,1.0,1.0,True,-4.6629367034256575e-15
['a']->h,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['a']->b,1.0,1.0,1.0,1.0,True,-7.327471962526033e-15
"['c', 'd']->a",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
['a']->c,1.0,1.0,1.0,1.0,True,5.162537064506978e-14
['a']->g,1.0,1.0,1.0,1.0,True,1.7763568394002505e-15
['a']->f,1.0,1.0,1.0,1.0,True,9.847678228425139e-14
['a']->d,1.0,1.0,1.0,1.0,True,9.00390872971002e-14
['d']->j,0.6984279421282276,0.716209437323048,0.9537037037037037,0.868421052631579,False,0.1979774049726164
['c']->j,0.0,0.0,0.7685185185185185,0.5283018867924528,False,-0.10351331128657715
"['c', 'd']->f",1.0,1.0,1.0,1.0,True,9.847678228425139e-14
['d']->e,0.5641630051481259,0.575587035313866,0.9351851851851852,0.8157894736842105,False,0.1766117389207813
['c']->b,1.0,1.0,1.0,1.0,False,0.42031795380008496
['d']->k,0.328025037653203,0.3605764198473722,0.8611111111111112,0.6052631578947368,False,0.10494630078885836
['c']->e,0.5039270431237874,0.49060104956470557,0.9074074074074074,0.8113207547169812,False,0.20989361369773785
['d']->l,0.19188811188811183,0.16287898208280746,0.8425925925925926,0.5526315789473685,False,0.0477149996198144
['d']->b,0.0,0.0,0.787037037037037,0.39473684210526316,False,-0.01515390097117697
"['f', 'm']->j",0.3194777315924374,0.3982627728126577,0.9259259259259259,0.7647058823529411,False,0.10733867428642896
['c']->k,0.3025921724614492,0.31304070501655423,0.8055555555555556,0.6037735849056604,False,0.1269446387924834
['c']->l,0.19595408365219635,0.17597257864645696,0.787037037037037,0.5660377358490566,False,0.07183541101527136
['d']->i,0.16716085989621832,0.18899405802476638,0.9166666666666666,0.7631578947368421,False,0.052831332765975736
['d']->g,0.20339158308344552,0.19570471731441802,0.8425925925925926,0.5526315789473685,False,0.05397969593298935
['c']->i,0.17728762512179952,0.16732330521340347,0.8796296296296297,0.7547169811320755,False,0.06508199069303866
['c']->g,0.0,0.0,0.7037037037037037,0.39622641509433965,False,-0.04589013175663681
"['c', 'f']->d",0.0,0.0,0.8981481481481481,0.0,False,-0.0005910241955040529
"['f', 'm']->l",0.47484045366398187,0.5061829606642252,0.9166666666666666,0.7352941176470589,False,0.14276697323040854
['d']->h,0.50244557729402,0.49118629121520174,0.9444444444444444,0.8421052631578947,False,0.15416787235728924
"['f', 'm']->g",0.39812074142033993,0.4541866390647595,0.9074074074074074,0.7058823529411765,False,0.12266092236413073
"['f', 'm']->i",0.4427742928157161,0.44366529262939236,0.962962962962963,0.8823529411764706,False,0.12040748538269408
"['f', 'k', 'm']->b",0.11679605216444644,0.109330228004123,0.8981481481481481,0.5217391304347826,False,0.02087410466955686
['c']->h,0.0,0.0,0.8148148148148149,0.6226415094339622,False,-0.03943492698593465
"['c', 'm']->f",0.26353047297827226,0.28897190505580345,0.8796296296296297,0.3157894736842105,False,0.01927127831027775
"['f', 'k', 'l']->j",0.06765833663889886,0.15212585953010468,0.9166666666666666,0.6666666666666666,False,0.031654757628906016
"['d', 'f']->c",0.0,0.0,0.9907407407407407,0.0,False,-4.6971632895687065e-05
"['d', 'm']->f",0.0,0.0,0.8148148148148149,0.0,False,-0.0060478036565759785
"['f', 'j']->h",0.8127299925205689,0.8134365017332894,0.9814814814814815,0.9428571428571428,False,0.2456618140777448
"['c', 'm']->d",0.0,0.0,0.8240740740740741,0.0,False,-0.0006932205468968
"['d', 'f']->a",0.0,6.16768256376986e-11,0.9907407407407407,0.0,False,1.6908696665041134e-13
"['c', 'f']->a",0.0,4.374637736058134e-12,0.8981481481481481,0.0,False,1.580957587066223e-13
"['f', 'k', 'l']->b",0.25152422427871546,0.254739162973831,0.9074074074074074,0.6296296296296297,False,0.05734765528045005
"['e', 'f', 'k']->g",0.4439998396215057,0.49113422339523216,0.9351851851851852,0.72,False,0.09553019708569022
"['k', 'l', 'm']->j",0.7404418271137826,0.7609308230638328,0.9444444444444444,0.9230769230769231,False,0.47391628424774457
"['b', 'f', 'j']->e",0.0,0.0,0.8981481481481481,0.5217391304347826,False,-0.029589097145569676
"['c', 'k']->f",0.1301991600054192,0.17252957981361358,0.7592592592592593,0.21212121212121213,False,0.02120872698718823
"['b', 'f', 'j']->k",0.22614402958667623,0.26164903836816955,0.9074074074074074,0.5652173913043478,False,0.04729966123583851
"['f', 'm']->h",0.5162897619780891,0.4948726951536533,0.9537037037037037,0.8529411764705882,False,0.14471821600789447
"['d', 'm']->c",0.0,0.0,0.8148148148148149,0.0,False,-0.0011253045474090007
"['d', 'k']->f",0.0,0.0,0.787037037037037,0.041666666666666664,False,-0.005126926821128475
"['f', 'l']->i",0.20700871898054862,0.2574649800397189,0.9444444444444444,0.8285714285714286,False,0.07449601767068059
"['c', 'm']->a",0.0,3.171303910192556e-12,0.8240740740740741,0.0,False,1.7175150190951172e-13
"['f', 'l', 'm']->b",0.16815012242339344,0.14951206336874767,0.8888888888888888,0.5555555555555556,False,0.03409546573780042
"['b', 'f', 'm']->d",0.0,0.0,0.7777777777777778,0.0,False,-0.0016672087772291455
"['f', 'l']->h",0.5618362004487646,0.5499178492556921,0.962962962962963,0.8857142857142857,False,0.16884196421315256
"['d', 'm']->a",0.0,2.915445703432823e-12,0.8148148148148149,0.0,False,1.708633234898116e-13
"['b', 'f', 'm']->c",0.18425649578651637,0.19530566546178973,0.8333333333333334,0.25,False,0.01998288159080075
"['l', 'm']->h",0.5317480294574534,0.5142925265512788,0.8888888888888888,0.8681318681318682,False,0.4150807620056297
"['b', 'f', 'm']->k",0.17832764505119403,0.20859194600936296,0.8981481481481481,0.5416666666666666,False,0.039832707395386024
"['b', 'f', 'h']->j",0.13779112597041865,0.1134242631157435,0.9259259259259259,0.7241379310344828,False,0.025252014966128278
"['c', 'k']->d",0.0,0.0,0.6944444444444444,0.0,False,-0.0014487736776359617
"['b', 'f', 'm']->e",0.0,0.007818231114452422,0.8981481481481481,0.5416666666666666,False,0.0015461301456419774
"['f', 'j']->l",0.49097831399369796,0.4888267858303788,0.9259259259259259,0.7714285714285715,False,0.1428289417830202
"['b', 'f', 'm']->a",0.0,1.8193207522728e-12,0.7777777777777778,0.0,False,1.5776269179923474e-13
"['b', 'k', 'l', 'm']->g",0.28413624575049745,0.34118421378178726,0.8055555555555556,0.631578947368421,False,0.14737746425069487
"['d', 'k']->c",0.0,0.0,0.7777777777777778,0.0,False,-0.0016841392073791983
"['g', 'k', 'm']->i",0.44066988998668544,0.48212236716014656,0.9074074074074074,0.8507462686567164,False,0.25771134389588657
"['d', 'k']->a",0.0,2.1859555617146134e-12,0.7777777777777778,0.0,False,1.674216321134736e-13
"['f', 'j', 'k']->d",0.0022873750353200606,0.012999766737005558,0.7685185185185185,0.038461538461538464,False,0.001363251066243576
"['b', 'f', 'l']->k",0.3332160095089992,0.38485456677161056,0.9074074074074074,0.6153846153846154,False,0.0810240966336021
"['c', 'k']->a",0.0,9.480766000174403e-13,0.6944444444444444,0.0,False,9.536815781530095e-14
"['f', 'j', 'k']->e",0.02327811922939027,0.004126711127084988,0.8981481481481481,0.5769230769230769,False,0.0008835072113112519
"['b', 'f', 'j']->g",0.3442824195536247,0.39775144647571276,0.9259259259259259,0.6521739130434783,False,0.0681421780811694
"['j', 'k', 'm']->h",0.6130646535979549,0.6220926241177627,0.9074074074074074,0.8837209302325582,False,0.4689762945408962
"['f', 'j', 'k']->c",0.10525064822817587,0.13862110601840777,0.8055555555555556,0.19230769230769232,False,0.015282552253850223
"['f', 'j']->i",0.3564905919030654,0.3909736817683148,0.9537037037037037,0.8571428571428571,False,0.10943195496051494
"['b', 'e', 'g', 'k', 'l', 'm']->f",0.2044696541446116,0.2143863653860276,0.8148148148148149,0.3103448275862069,False,0.024495805772715706
"['f', 'l', 'm']->k",0.3750583887102653,0.3424306079385164,0.9259259259259259,0.7037037037037037,False,0.07673904541864884
