fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['c']->e,0.8691028037383178,0.873178933397902,0.9533333333333334,0.9345794392523364,False,0.602282339900891
['d']->e,0.8903841145833337,0.8891730528937036,0.96,0.953125,False,0.7545649546299469
"['a', 'b']->e",0.4887254901960796,0.5030910892097064,0.9266666666666666,0.6764705882352942,False,0.10011705419056949
"['a', 'c']->b",0.18814000185792668,0.1959929519014393,0.8666666666666667,0.25925925925925924,False,0.01712131979732301
"['a', 'b']->c",0.16409849799533271,0.1695623240194282,0.8200000000000001,0.20588235294117646,False,0.015959837303135105
"['a', 'c']->d",0.18954730925069985,0.19755587975887356,0.8666666666666667,0.25925925925925924,False,0.01706199996334523
"['b', 'c']->a",0.18084490740740677,0.21160713839495912,0.86,0.25,False,0.017167890514750317
"['a', 'd']->b",0.08366293652324941,0.08425416790231512,0.78,0.175,False,0.011566377978939335
"['b', 'c']->d",0.17365142802113154,0.2115514333937179,0.8666666666666667,0.2857142857142857,False,0.019474985017556512
"['a', 'd']->c",0.11465365763432944,0.1292339001224622,0.78,0.175,False,0.014869175571172177
"['a', 'b']->d",0.12956443170488563,0.13098075319506333,0.8200000000000001,0.20588235294117646,False,0.014586508613400828
"['c', 'd']->b",0.03574988745256957,0.0270908691854817,0.7266666666666667,0.14583333333333334,False,0.005043492333448363
"['b', 'd']->a",0.0641946191474495,0.07481773555184987,0.6933333333333334,0.1320754716981132,False,0.012523526421788667
"['c', 'd']->a",0.05833092206790147,0.06825611518888906,0.7266666666666667,0.14583333333333334,False,0.011241475609633289
"['b', 'd']->c",0.07311953291722584,0.09299782742426646,0.7,0.1509433962264151,False,0.014938940346041374
