fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
"['shell_weight', 'shucked_weight', 'whole_height']->viscera_weight",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['shell_weight', 'shucked_weight', 'whole_height']->length",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['shell_weight', 'shucked_weight', 'whole_height']->diameter",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['shell_weight', 'shucked_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['shell_weight', 'shucked_weight', 'whole_height']->rings",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['shell_weight', 'shucked_weight', 'whole_height']->sex",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['shucked_weight', 'viscera_weight', 'whole_height']->diameter",1.0,1.0,1.0,1.0,False,7.559379404720179e-05
"['shucked_weight', 'viscera_weight', 'whole_height']->sex",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['length', 'shucked_weight', 'viscera_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['length', 'shucked_weight', 'viscera_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['height', 'shucked_weight', 'viscera_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['height', 'shucked_weight', 'viscera_weight', 'whole_height']->length",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['height', 'shucked_weight', 'viscera_weight', 'whole_height']->rings",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['rings', 'shucked_weight', 'viscera_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['rings', 'shucked_weight', 'viscera_weight', 'whole_height']->length",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['rings', 'shucked_weight', 'viscera_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['length', 'shucked_weight', 'whole_height']->rings",1.0,1.0,1.0,1.0,False,0.00011906286119867104
"['diameter', 'length', 'shucked_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['diameter', 'length', 'shucked_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['height', 'length', 'shucked_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['height', 'length', 'shucked_weight', 'whole_height']->viscera_weight",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['height', 'length', 'shucked_weight', 'whole_height']->diameter",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['height', 'length', 'shucked_weight', 'whole_height']->sex",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['length', 'sex', 'shucked_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['length', 'sex', 'shucked_weight', 'whole_height']->viscera_weight",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['length', 'sex', 'shucked_weight', 'whole_height']->diameter",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['length', 'sex', 'shucked_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['diameter', 'shucked_weight', 'whole_height']->viscera_weight",1.0,1.0,1.0,1.0,False,5.032018775219527e-05
"['diameter', 'shucked_weight', 'whole_height']->sex",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['diameter', 'height', 'shucked_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['diameter', 'height', 'shucked_weight', 'whole_height']->length",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['diameter', 'height', 'shucked_weight', 'whole_height']->rings",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['diameter', 'rings', 'shucked_weight', 'whole_height']->shell_weight",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['diameter', 'rings', 'shucked_weight', 'whole_height']->length",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['diameter', 'rings', 'shucked_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['shell_weight', 'viscera_weight', 'whole_height']->shucked_weight",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['shell_weight', 'viscera_weight', 'whole_height']->length",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['shell_weight', 'viscera_weight', 'whole_height']->diameter",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['shell_weight', 'viscera_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['shell_weight', 'viscera_weight', 'whole_height']->rings",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['shell_weight', 'viscera_weight', 'whole_height']->sex",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['diameter', 'length', 'shell_weight', 'whole_height']->shucked_weight",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['diameter', 'length', 'shell_weight', 'whole_height']->viscera_weight",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['diameter', 'length', 'shell_weight', 'whole_height']->height",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['diameter', 'length', 'shell_weight', 'whole_height']->rings",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
