fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['identif']->erected,1.0,1.0,1.0,1.0,True,9.00390872971002e-14
['identif']->length,1.0,1.0,1.0,1.0,True,9.847678228425139e-14
['identif']->location,1.0,1.0,1.0,1.0,True,5.162537064506978e-14
['identif']->type,1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
['identif']->lanes,1.0,1.0,1.0,1.0,True,1.7763568394002505e-15
['identif']->river,1.0,1.0,1.0,1.0,True,-7.327471962526033e-15
['identif']->purpose,1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
['identif']->material,1.0,1.0,1.0,1.0,True,3.774758283725532e-15
['identif']->span,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['identif']->rel-l,1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
['identif']->clear-g,1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
['identif']->t-or-d,1.0,1.0,1.0,1.0,True,-4.6629367034256575e-15
"['erected', 'length']->lanes",1.0,1.0,1.0,1.0,False,0.006713256531721945
"['erected', 'length']->river",1.0,1.0,1.0,1.0,False,0.007420073133200478
"['erected', 'length']->material",1.0,1.0,1.0,1.0,False,0.006845400164916859
"['erected', 'length']->span",1.0,1.0,1.0,1.0,False,0.007080366065122301
"['erected', 'length']->clear-g",1.0,1.0,1.0,1.0,False,0.007968429193501936
"['erected', 'length']->t-or-d",1.0,1.0,1.0,1.0,False,0.006993686426414625
"['erected', 'length', 'type']->identif",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['erected', 'length', 'type']->location",1.0,1.0,1.0,1.0,True,5.162537064506978e-14
"['erected', 'length', 'type']->purpose",1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
"['erected', 'length', 'type']->rel-l",1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
"['erected', 'length', 'purpose']->identif",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['erected', 'length', 'purpose']->location",1.0,1.0,1.0,1.0,True,5.162537064506978e-14
"['erected', 'length', 'purpose']->type",1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
"['erected', 'length', 'purpose']->rel-l",1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
"['erected', 'length', 'rel-l']->identif",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['erected', 'length', 'rel-l']->location",1.0,1.0,1.0,1.0,True,5.162537064506978e-14
"['erected', 'length', 'rel-l']->type",1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
"['erected', 'length', 'rel-l']->purpose",1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
"['erected', 'location']->identif",1.0,1.0,1.0,1.0,True,1.6964207816272392e-13
"['erected', 'location']->length",1.0,1.0,1.0,1.0,True,9.847678228425139e-14
"['erected', 'location']->type",1.0,1.0,1.0,1.0,True,-2.220446049250313e-15
"['erected', 'location']->lanes",1.0,1.0,1.0,1.0,True,1.7763568394002505e-15
"['erected', 'location']->purpose",1.0,1.0,1.0,1.0,True,-1.1102230246251565e-15
"['erected', 'location']->material",1.0,1.0,1.0,1.0,True,3.774758283725532e-15
"['erected', 'location']->span",1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
"['erected', 'location']->rel-l",1.0,1.0,1.0,1.0,True,-3.1086244689504383e-15
"['erected', 'location']->clear-g",1.0,1.0,1.0,1.0,True,-2.220446049250313e-16
"['erected', 'location']->t-or-d",1.0,1.0,1.0,1.0,True,-4.6629367034256575e-15
"['erected', 'lanes', 'river', 't-or-d', 'type']->span",1.0,1.0,1.0,1.0,False,0.03540183032561195
"['erected', 'lanes', 'material', 'type']->purpose",1.0,1.0,1.0,1.0,False,0.07041487858866047
"['erected', 'lanes', 'rel-l', 'type']->purpose",1.0,1.0,1.0,1.0,False,0.05414551439836934
