fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
"['epss', 'lvdd']->group",1.0,1.0,1.0,1.0,False,0.04327490479163909
"['epss', 'lvdd', 'wall-motion-index']->alive-at-1",1.0,1.0,1.0,1.0,False,0.006420603310552497
"['epss', 'fractional-shortening', 'lvdd', 'wall-motion-index']->survival",1.0,1.0,1.0,1.0,True,9.248157795127554e-14
"['epss', 'fractional-shortening', 'lvdd', 'wall-motion-index']->wall-motion-score",1.0,1.0,1.0,1.0,True,5.395683899678261e-14
"['epss', 'fractional-shortening', 'lvdd', 'wall-motion-index']->age-at-heart-attack",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['epss', 'fractional-shortening', 'lvdd', 'wall-motion-index']->mult",1.0,1.0,1.0,1.0,True,2.2315482794965646e-14
"['epss', 'fractional-shortening', 'lvdd', 'wall-motion-index']->still-alive",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['epss', 'lvdd', 'still-alive', 'wall-motion-index']->survival",1.0,1.0,1.0,1.0,True,9.248157795127554e-14
"['epss', 'lvdd', 'still-alive', 'wall-motion-index']->fractional-shortening",1.0,1.0,1.0,1.0,True,6.750155989720952e-14
"['epss', 'lvdd', 'still-alive', 'wall-motion-index']->wall-motion-score",1.0,1.0,1.0,1.0,True,5.395683899678261e-14
"['epss', 'lvdd', 'still-alive', 'wall-motion-index']->age-at-heart-attack",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['epss', 'lvdd', 'still-alive', 'wall-motion-index']->mult",1.0,1.0,1.0,1.0,True,2.2315482794965646e-14
"['epss', 'lvdd', 'still-alive', 'wall-motion-index']->pericardial-effusion",1.0,1.0,1.0,1.0,True,-1.3322676295501878e-15
"['epss', 'lvdd', 'pericardial-effusion', 'wall-motion-index']->survival",1.0,1.0,1.0,1.0,True,9.248157795127554e-14
"['epss', 'lvdd', 'pericardial-effusion', 'wall-motion-index']->fractional-shortening",1.0,1.0,1.0,1.0,True,6.750155989720952e-14
"['epss', 'lvdd', 'pericardial-effusion', 'wall-motion-index']->wall-motion-score",1.0,1.0,1.0,1.0,True,5.395683899678261e-14
"['epss', 'lvdd', 'pericardial-effusion', 'wall-motion-index']->age-at-heart-attack",1.0,1.0,1.0,1.0,True,3.7192471324942744e-14
"['epss', 'lvdd', 'pericardial-effusion', 'wall-motion-index']->mult",1.0,1.0,1.0,1.0,True,2.2315482794965646e-14
"['epss', 'lvdd', 'pericardial-effusion', 'wall-motion-index']->still-alive",1.0,1.0,1.0,1.0,True,4.107825191113079e-15
"['age-at-heart-attack', 'epss', 'fractional-shortening', 'lvdd']->wall-motion-index",1.0,1.0,1.0,1.0,True,9.836575998178887e-14
"['age-at-heart-attack', 'epss', 'fractional-shortening', 'lvdd']->survival",1.0,1.0,1.0,1.0,True,9.248157795127554e-14
