fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['lvdd']->pericardial-effusion,0.0,0.0,0.9242424242424242,0.7297297297297297,False,-0.02717167222747685
['lvdd']->group,0.009848831882730558,0.06643798424034943,0.8636363636363636,0.5135135135135135,False,0.016108088863111103
['lvdd']->wall-motion-score,0.02425030020891339,0.027239517583068626,0.75,0.10810810810810811,False,0.0037356255636834534
['lvdd']->epss,0.08542300262045521,0.18185456108511236,0.7651515151515151,0.16216216216216217,False,0.02115346936433471
['lvdd']->fractional-shortening,0.08163167312758712,0.17461188001132602,0.7651515151515151,0.16216216216216217,False,0.022518377070857132
['lvdd']->mult,0.0,0.0,0.7424242424242424,0.08108108108108109,False,-0.0045427237972374135
['lvdd']->survival,0.0,0.0,0.7272727272727273,0.02702702702702703,False,-0.0012406580581904025
['lvdd']->alive-at-1,0.16708332513139557,0.15944816296225672,0.8636363636363636,0.5135135135135135,False,0.040221449674917586
['lvdd']->age-at-heart-attack,0.0,0.0,0.7272727272727273,0.02702702702702703,False,-0.0018393704649359854
['lvdd']->wall-motion-index,0.014432111097916867,0.0,0.7575757575757576,0.13513513513513514,False,-0.0025179516493863963
['survival']->still-alive,0.7074303304188371,0.7109614062159874,0.9318181818181819,0.8846153846153846,False,0.40794148165805405
"['epss', 'survival']->lvdd",0.4950356266791267,0.49503562669474765,0.9924242424242424,0.5,False,0.002346592228841815
['survival']->pericardial-effusion,0.0,0.0,0.8409090909090909,0.7307692307692307,False,-0.028788944655923965
['survival']->alive-at-1,0.26667693801706904,0.3011270420556856,0.7651515151515151,0.6025641025641025,False,0.16522538846925117
['fractional-shortening']->pericardial-effusion,0.14051401312655565,0.12390400639429838,0.8787878787878788,0.8,False,0.06772570948587447
['epss']->pericardial-effusion,0.08598563121856051,0.030276564215377076,0.9166666666666666,0.7755102040816326,False,0.010124640721664746
"['age-at-heart-attack', 'epss']->survival",0.0,0.0,0.946969696969697,0.0,False,-0.0003354788736846803
['epss']->group,0.06213930710553617,0.08580918142574999,0.8484848484848485,0.5918367346938775,False,0.028825192236688002
"['epss', 'survival']->age-at-heart-attack",0.0,0.0,0.9848484848484849,0.0,False,-0.00019656604660633903
"['epss', 'survival']->wall-motion-score",0.0,0.0,0.9848484848484849,0.0,False,-0.0003154782815270041
['survival']->group,0.15703527070610057,0.17586075698327613,0.7954545454545454,0.6538461538461539,False,0.09188332634358831
"['fractional-shortening', 'survival']->lvdd",0.3267141689055023,0.3267141689193234,0.9848484848484849,0.3333333333333333,False,0.0023230598622249188
"['epss', 'survival']->fractional-shortening",0.48797820679853177,0.48797820680466814,0.9924242424242424,0.5,False,0.0027172851632197847
"['fractional-shortening', 'survival']->epss",0.3201226704411424,0.3201226704528767,0.9848484848484849,0.3333333333333333,False,0.00240052101753363
"['age-at-heart-attack', 'wall-motion-score']->pericardial-effusion",0.6440657033469165,0.6388808483030037,0.9924242424242424,0.9166666666666666,False,0.04948889199265494
['lvdd']->still-alive,0.04681232957095094,0.0,0.8939393939393939,0.6216216216216216,False,-0.0007306922919259051
"['epss', 'survival']->wall-motion-index",0.0,0.0,0.9848484848484849,0.0,False,-0.0006650936653218587
"['age-at-heart-attack', 'fractional-shortening']->survival",0.0,0.0,0.9621212121212122,0.0,False,-0.00028701070297076914
['epss']->still-alive,0.09194717186272416,0.048986359751278956,0.8712121212121212,0.6530612244897959,False,0.017688573586512435
