fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['voter_id']->last_name,1.0,1.0,1.0,1.0,False,0.00022067359236299655
['voter_id']->full_phone_num,0.0,0.0,0.999,0.0,False,-0.0003447351076517613
['voter_id']->name_prefix,0.0,1.0,1.0,1.0,False,0.00037382201746860577
['voter_id']->ethnic,1.0,1.0,1.0,1.0,False,0.0006468940427514225
['voter_id']->city,1.0,1.0,1.0,1.0,False,0.0003013719306523832
['voter_id']->zip_code,1.0,1.0,1.0,1.0,False,0.0002856756849223263
['voter_id']->middle_name,0.0,0.0,0.999,0.0,False,-4.594427754833763e-05
['voter_id']->gender,1.0,1.0,1.0,1.0,False,0.0009682165175473045
['voter_id']->race,1.0,1.0,1.0,1.0,False,0.000642508304779299
['voter_id']->download_month,0.0,0.0,0.999,0.0,False,-0.0009046769670801869
['voter_id']->name_suffix,0.0,1.0,1.0,1.0,False,0.00036333627455242823
['voter_id']->birth_place,0.0,1.0,1.0,1.0,False,0.0005734161091399681
['voter_reg_num']->zip_code,1.0,1.0,1.0,1.0,False,0.0002856756849223263
['street_address']->zip_code,1.0,1.0,1.0,1.0,False,0.012382040589480336
['voter_reg_num']->ethnic,1.0,1.0,1.0,1.0,False,0.0006468940427514225
['street_address']->ethnic,0.21176193222005713,0.20688464980949384,0.997,0.9285714285714286,False,0.0056603220312776426
['last_name']->zip_code,0.16573597446241095,0.17367762278870696,0.727,0.22443181818181818,False,0.022542551325972826
['voter_reg_num']->last_name,1.0,1.0,1.0,1.0,False,0.00022067359236299655
['voter_reg_num']->birth_place,0.0,1.0,1.0,1.0,False,0.0005734161091399681
['first_name']->zip_code,0.005911672033063087,0.012303170213800929,0.489,0.05018587360594796,False,0.0029738405153615366
['street_address']->last_name,0.737697188984628,0.714197337455607,0.989,0.7380952380952381,False,0.00683585503637707
['voter_reg_num']->gender,1.0,1.0,1.0,1.0,False,0.0009682165175473045
['street_address']->birth_place,0.0,0.6560214875148004,0.998,0.9523809523809523,False,0.015885651034702297
['street_address']->gender,0.0,0.0,0.967,0.21428571428571427,False,-0.027547049251560263
['first_name']->last_name,0.004272405084683295,0.007749569613827115,0.471,0.016728624535315983,False,0.0014721958844373662
['voter_reg_num']->full_phone_num,0.0,0.0,0.999,0.0,False,-0.0003447351076517613
['street_address']->full_phone_num,0.0,0.5636606238034131,0.997,0.9285714285714286,False,0.005284289697863986
['voter_reg_num']->download_month,0.0,0.0,0.999,0.0,False,-0.0009046769670801869
['last_name']->birth_place,0.0,0.2768027361753787,0.976,0.9318181818181818,False,0.05898977021423912
['last_name']->ethnic,0.36246767642911304,0.36148384201639344,0.982,0.9488636363636364,False,0.08863844617186412
['voter_reg_num']->race,1.0,1.0,1.0,1.0,False,0.000642508304779299
['first_name']->birth_place,0.0,0.1046294400424933,0.949,0.9052044609665427,False,0.03623350666052216
['voter_reg_num']->middle_name,0.0,0.0,0.999,0.0,False,-4.594427754833763e-05
['voter_reg_num']->city,1.0,1.0,1.0,1.0,False,0.0003013719306523832
['first_name']->gender,0.858771063558445,0.8508187615302197,0.973,0.949814126394052,False,0.4589316284441638
['street_address']->race,0.6035261172705505,0.5989674839840773,0.998,0.9523809523809523,False,0.016281699865282162
['first_name']->ethnic,0.0,0.0,0.962,0.929368029739777,False,-0.012422088620898997
['voter_reg_num']->name_prefix,0.0,1.0,1.0,1.0,False,0.00037382201746860577
['voter_reg_num']->name_suffix,0.0,1.0,1.0,1.0,False,0.00036333627455242823
['street_address']->middle_name,0.0,0.027943705314498853,0.971,0.30952380952380953,False,0.0003019220751706575
['street_address']->city,1.0,1.0,1.0,1.0,False,0.013055109859034797
['last_name']->gender,0.0,0.0,0.838,0.5397727272727273,False,-0.037742854048867014
['street_address']->name_suffix,0.0,0.47392576283654203,1.0,1.0,False,0.00745825567546976
['street_address']->name_prefix,0.0,0.12197616269628872,1.0,1.0,False,0.0019747968267261884
['zip_code']->ethnic,0.24202463195769242,0.2630745037571047,0.962,0.9500657030223391,False,0.1651288586902397
['last_name']->race,0.3688178365311118,0.3774569588766343,0.975,0.9289772727272727,False,0.09197734992554552
['zip_code']->gender,0.026999925111942935,0.03063236468383539,0.7130000000000001,0.6228646517739816,False,0.02337209159974099
['street_address']->download_month,0.025744226086319655,0.02304598567956597,0.98,0.5238095238095238,False,0.000913010115719981
['last_name']->full_phone_num,0.0,0.06424518285141002,0.925,0.7869318181818182,False,0.0063393994216947025
['zip_code']->city,0.9933492022052933,0.9953637290377039,0.997,0.9960578186596584,False,0.4320063828160824
['middle_name']->ethnic,0.0,0.5700580864410405,0.981,0.9674657534246576,False,0.2886161395647042
['zip_code']->birth_place,0.14335874732490306,0.4086424412837663,0.945,0.9277266754270697,False,0.21752032628195317
['last_name']->name_suffix,0.0,0.07890713508508883,1.0,1.0,False,0.01293009019351743
['last_name']->name_prefix,0.0,0.40304418308426326,1.0,1.0,False,0.0678898546183152
['first_name']->race,0.1282412215829979,0.16509934141880248,0.953,0.912639405204461,False,0.06637897490300637
['first_name']->full_phone_num,0.0,0.01877104926345219,0.862,0.7434944237918215,False,0.0034711142874179757
['register_date']->ethnic,0.14861778389772706,0.14843898624284657,0.965,0.9508426966292135,False,0.09539579668222947
['last_name']->city,0.1828722037471765,0.18578736510514943,0.737,0.2528409090909091,False,0.02529865562058342
['last_name']->middle_name,0.0,0.005477485870429984,0.734,0.24431818181818182,False,0.0006223206279988291
['city']->birth_place,0.12502032140806407,0.33661116786721873,0.933,0.9149746192893401,False,0.19289227573123763
['zip_code']->race,0.3390761088112152,0.3670297400704819,0.953,0.938239159001314,False,0.22741724152779857
['city']->ethnic,0.15280211858874415,0.19323701258830114,0.959,0.9479695431472082,False,0.1289039536659698
['zip_code']->full_phone_num,0.0,0.07006663053776381,0.789,0.7227332457293035,False,0.022782265963716908
['first_name']->name_suffix,0.0,0.0,0.994,0.9888475836431226,False,-0.017717248297277055
['first_name']->name_prefix,0.0,0.10594596316682413,1.0,1.0,False,0.032861408309492246
['first_name']->city,0.019653953773205224,0.03326531300580517,0.517,0.10223048327137546,False,0.008382249281271625
['age']->ethnic,0.15811194022799224,0.13725894559171603,0.956,0.9521739130434783,False,0.11564122217773332
['city']->race,0.29658781893932984,0.32534974624896634,0.947,0.932741116751269,False,0.21415588205731445
['middle_name']->name_suffix,0.0,0.2768158699146269,0.997,0.9948630136986302,False,0.12142191322586393
['zip_code']->name_prefix,0.0,0.2515397616815288,1.0,1.0,False,0.13282129241999718
['last_name']->download_month,0.04143042534407548,0.0389958607366879,0.854,0.5852272727272727,False,0.013271597824307313
['register_date']->race,0.5487096071129058,0.535468081120173,0.972,0.9606741573033708,False,0.3391051321850025
['middle_name']->name_prefix,0.0,0.0,1.0,1.0,False,-0.0928939647689398
['zip_code']->name_suffix,0.0,0.03801395325650716,0.996,0.9947437582128777,False,0.019600613295282066
['first_name']->middle_name,0.0,0.0,0.563,0.18773234200743494,False,-0.009304245512388398
['age']->race,0.19307455786728678,0.27098681175176,0.9339999999999999,0.9282608695652174,False,0.22467009596957768
['city']->name_prefix,0.0,0.2601409726164323,1.0,1.0,False,0.15035850771808085
['city']->name_suffix,0.0,0.0015403542162982127,0.995,0.9936548223350253,False,0.0008716746981435319
['middle_name']->race,0.0,0.37188917444089903,0.965,0.940068493150685,False,0.18654656164981204
['first_name']->download_month,0.0,0.0,0.774,0.5799256505576208,False,-0.006200518051014903
['register_date']->name_prefix,0.0,0.0,1.0,1.0,False,-0.10663218331199198
['register_date']->name_suffix,0.0,0.06857779002797998,0.996,0.9943820224719101,False,0.039928793496295745
['age']->name_prefix,0.0,0.3150857555418366,1.0,1.0,False,0.24761940463783044
['age']->name_suffix,0.0,0.07340228189546727,0.991,0.9902173913043478,False,0.05672614128890119
"['middle_name', 'zip_code']->last_name",0.0,0.9037724363737035,0.9359999999999999,0.564625850340136,False,0.14919118874674941
['zip_code']->download_month,0.048853136733386204,0.05103762636754413,0.6950000000000001,0.5992115637319316,False,0.0379180957861639
"['middle_name', 'register_date']->birth_place",0.0,0.8546537640013798,0.995,0.9717514124293786,False,0.17317153377408334
"['city', 'middle_name']->full_phone_num",0.0,0.9451815453510538,0.991,0.9497206703910615,False,0.16323493898201547
