dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
bridges,fdx,['t-or-d']->erected,0.0005265429955254586,0.008784075732527923,0.0380952380952381,False,1,0.027777777777777776
bridges,fdx,['erected']->location,0.0,0.0,0.0,False,1,0.6481481481481481
bridges,fdx,"['t-or-d', 'erected']->material",0.6303310258346014,0.6439628806383685,0.8387096774193549,False,2,0.7129629629629629
bridges,fdx,['t-or-d']->lanes,0.0761024154936687,0.07270969668676115,0.6095238095238096,False,1,0.027777777777777776
bridges,fdx,"['location', 'lanes']->length",0.1682529467551822,0.16980122275949877,0.22727272727272727,False,2,0.7962962962962963
bridges,fdx,"['material', 'length']->type",0.6568631011685939,0.6624365784540617,0.8,False,2,0.6759259259259259
bridges,fdx,"['material', 'length']->span",0.2192435745629303,0.2429267467074714,0.5714285714285714,False,2,0.6759259259259259
bridges,fdx,"['t-or-d', 'material']->clear-g",0.5437880180556443,0.48550641557888063,0.8613861386138614,False,2,0.06481481481481481
bridges,fdx,['clear-g']->rel-l,0.17397940521017452,0.13336439488090265,0.6666666666666666,False,1,0.027777777777777776
bridges,fdx,"['erected', 'material']->purpose",0.6863294355232723,0.69352205489835,0.8787878787878788,False,2,0.6944444444444444
bridges,fdx,['location']->river,1.0,1.0,1.0,False,1,0.5092592592592593
