dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
letter,fdx,['x-bar']->x-ege,0.031395443541785584,0.03715593418019181,0.278873098478783,False,1,0.0008
letter,fdx,"['x-bar', 'x-ege']->x2bar",0.06194312650116218,0.1426511618904653,0.25690802743041546,False,2,0.0084
letter,fdx,"['x-bar', 'x-ege', 'x2bar']->Y-ege",0.22363189713966536,0.30864989519153324,0.42350599696223745,False,3,0.04535
letter,fdx,"['x-bar', 'x-ege', 'x2bar', 'Y-ege']->y-bar",0.3119132106394473,0.4219347304900346,0.5351393560788082,False,4,0.1676
letter,fdx,"['x-bar', 'x-ege', 'x2bar', 'Y-ege', 'y-bar']->xy2br",0.4973639220192464,0.5779079269170253,0.6641113892365457,False,5,0.3608
letter,fdx,"['x-bar', 'x-ege', 'x2bar', 'Y-ege', 'y-bar', 'xy2br']->yegvx",0.6380900209204681,0.6996324601909901,0.7722255669275537,False,6,0.5017
letter,fdx,"['x-bar', 'x-ege', 'x2bar', 'Y-ege', 'y-bar', 'yegvx']->x2ybr",0.6196169187768301,0.6996774232701992,0.7378229146125025,False,6,0.4929
letter,fdx,"['x-ege', 'y-bar', 'yegvx', 'x2ybr']->xegvy",0.46783173587493787,0.5442340180157348,0.6806184695295041,False,4,0.17215
letter,fdx,"['x-bar', 'x-ege', 'Y-ege', 'yegvx']->onpix",0.20843018004167668,0.32056818262287823,0.43844131006454695,False,4,0.1634
letter,fdx,"['x-bar', 'x-ege', 'onpix']->high",0.1366872283605569,0.250111546362385,0.3527307166158055,False,3,0.0497
letter,fdx,"['x-bar', 'x-ege', 'onpix', 'high']->width",0.24177686928398956,0.37397629557706585,0.46292454507735165,False,4,0.15645
letter,fdx,"['x-bar', 'x-ege', 'high', 'width']->y-box",0.3490615396101181,0.4923493661352873,0.5302283653846154,False,4,0.168
letter,fdx,"['x-bar', 'high', 'y-box']->lettr",0.08331536355860014,0.16094118886593406,0.19129894987326057,False,3,0.03345
letter,fdx,"['x-ege', 'width', 'y-box']->x-box",0.37440234539776585,0.5205297236879958,0.5885723296888141,False,3,0.0488
letter,fdx,"['x-ege', 'x2bar', 'Y-ege', 'xy2br']->y2bar",0.32087341945458503,0.443524708644555,0.517864674338736,False,4,0.17015
letter,fdx,"['x-bar', 'x2bar', 'y-bar', 'xy2br']->xybar",0.35113590342773815,0.45185602749507475,0.5614960583249363,False,4,0.15645
