dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
adult,hyfd,"['age', 'fnlwgt']->race",1.0,1.0,1.0,False,2,0.9933296275708727
adult,hyfd,"['age', 'fnlwgt']->sex",1.0,1.0,1.0,False,2,0.9933296275708727
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt']->Capital-loss",1.0,1.0,1.0,False,3,0.9983324068927182
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'age', 'fnlwgt']->Native-country",1.0,1.0,1.0,False,4,0.9988882712618121
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'age', 'fnlwgt']->workclass",1.0,1.0,1.0,False,4,0.9988882712618121
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'Marital-status', 'age', 'fnlwgt']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'Marital-status', 'age', 'fnlwgt']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'age', 'fnlwgt', 'relationship']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'age', 'fnlwgt', 'relationship']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'age', 'fnlwgt', 'income']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'Hours-per-week', 'age', 'fnlwgt', 'income']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Native-country', 'age', 'fnlwgt']->Capital-gain",1.0,1.0,1.0,False,4,0.9988882712618121
adult,hyfd,"['Hours-per-week', 'Native-country', 'age', 'fnlwgt']->workclass",1.0,1.0,1.0,False,4,0.9988882712618121
adult,hyfd,"['Hours-per-week', 'Marital-status', 'Native-country', 'age', 'fnlwgt']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Marital-status', 'Native-country', 'age', 'fnlwgt']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Native-country', 'age', 'fnlwgt', 'relationship']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Native-country', 'age', 'fnlwgt', 'relationship']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Native-country', 'age', 'fnlwgt', 'income']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Native-country', 'age', 'fnlwgt', 'income']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'age', 'education', 'fnlwgt']->occupation",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'age', 'education', 'fnlwgt']->workclass",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Education-num', 'Hours-per-week', 'age', 'fnlwgt']->occupation",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Education-num', 'Hours-per-week', 'age', 'fnlwgt']->workclass",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'workclass']->Capital-gain",1.0,1.0,1.0,False,4,0.9988882712618121
adult,hyfd,"['Hours-per-week', 'Marital-status', 'age', 'fnlwgt', 'workclass']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Marital-status', 'age', 'fnlwgt', 'workclass']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'relationship', 'workclass']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'relationship', 'workclass']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'income', 'workclass']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'income', 'workclass']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Hours-per-week', 'Marital-status', 'age', 'fnlwgt']->occupation",1.0,1.0,1.0,False,4,0.9994441356309061
adult,hyfd,"['Hours-per-week', 'Marital-status', 'age', 'fnlwgt']->income",1.0,1.0,1.0,False,4,0.9994441356309061
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'relationship']->occupation",1.0,1.0,1.0,False,4,0.9994441356309061
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'relationship']->income",1.0,1.0,1.0,False,4,0.9994441356309061
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'income']->occupation",1.0,1.0,1.0,False,4,0.9994441356309061
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'income']->Marital-status",1.0,1.0,1.0,False,4,0.9994441356309061
adult,hyfd,"['Hours-per-week', 'age', 'fnlwgt', 'income']->relationship",1.0,1.0,1.0,False,4,0.9994441356309061
adult,hyfd,"['Capital-gain', 'age', 'fnlwgt', 'occupation']->Native-country",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'age', 'fnlwgt', 'occupation']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'age', 'fnlwgt', 'occupation']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-gain', 'age', 'fnlwgt', 'occupation']->workclass",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Capital-loss', 'age', 'fnlwgt', 'income', 'workclass']->education",1.0,1.0,1.0,False,5,0.9994441356309061
adult,hyfd,"['Capital-loss', 'age', 'fnlwgt', 'income', 'workclass']->Education-num",1.0,1.0,1.0,False,5,0.9994441356309061
adult,hyfd,"['Capital-loss', 'age', 'fnlwgt', 'income', 'workclass']->Marital-status",1.0,1.0,1.0,False,5,0.9994441356309061
adult,hyfd,"['Capital-loss', 'age', 'fnlwgt', 'income', 'workclass']->relationship",1.0,1.0,1.0,False,5,0.9994441356309061
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'occupation']->Capital-gain",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'occupation']->education",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'occupation']->Education-num",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'occupation']->workclass",1.0,1.0,1.0,True,-,-
adult,hyfd,"['Marital-status', 'Native-country', 'age', 'fnlwgt']->Capital-gain",1.0,1.0,1.0,False,4,0.9983324068927182
adult,hyfd,"['Marital-status', 'Native-country', 'age', 'fnlwgt', 'income']->education",1.0,1.0,1.0,False,5,0.9988882712618121
adult,hyfd,"['Marital-status', 'Native-country', 'age', 'fnlwgt', 'income']->Education-num",1.0,1.0,1.0,False,5,0.9988882712618121
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'relationship']->Capital-gain",1.0,1.0,1.0,False,4,0.9983324068927182
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'income', 'relationship']->education",1.0,1.0,1.0,False,5,0.9988882712618121
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'income', 'relationship']->Education-num",1.0,1.0,1.0,False,5,0.9988882712618121
adult,hyfd,"['Native-country', 'age', 'fnlwgt', 'income']->Capital-gain",1.0,1.0,1.0,False,4,0.9977765425236242
adult,hyfd,"['age', 'education', 'fnlwgt']->Capital-gain",1.0,1.0,1.0,False,3,0.9988882712618121
