dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
breast,hyfd,"['bare_nuclei', 'sample_code_number']->class",1.0,1.0,1.0,False,2,0.9413447782546495
breast,hyfd,"['bare_nuclei', 'clump_thickness', 'sample_code_number']->uniformity_of_cell_shape",1.0,1.0,1.0,False,3,0.9814020028612304
breast,hyfd,"['bare_nuclei', 'clump_thickness', 'sample_code_number']->normal_nucleoli",1.0,1.0,1.0,False,3,0.9814020028612304
breast,hyfd,"['bare_nuclei', 'bland_chromatin', 'clump_thickness', 'sample_code_number']->single_epithelial_cell_size",1.0,1.0,1.0,False,4,0.9871244635193133
breast,hyfd,"['bare_nuclei', 'clump_thickness', 'mitoses', 'sample_code_number']->marginal_adhesion",1.0,1.0,1.0,False,4,0.9828326180257511
breast,hyfd,"['clump_thickness', 'sample_code_number']->class",1.0,1.0,1.0,False,2,0.9756795422031473
breast,hyfd,"['clump_thickness', 'sample_code_number', 'uniformity_of_cell_shape']->normal_nucleoli",1.0,1.0,1.0,False,3,0.977110157367668
breast,hyfd,"['bland_chromatin', 'clump_thickness', 'sample_code_number', 'uniformity_of_cell_shape']->single_epithelial_cell_size",1.0,1.0,1.0,False,4,0.9842632331902719
breast,hyfd,"['clump_thickness', 'marginal_adhesion', 'sample_code_number']->uniformity_of_cell_shape",1.0,1.0,1.0,False,3,0.9799713876967096
breast,hyfd,"['clump_thickness', 'marginal_adhesion', 'sample_code_number']->normal_nucleoli",1.0,1.0,1.0,False,3,0.9799713876967096
breast,hyfd,"['clump_thickness', 'marginal_adhesion', 'sample_code_number']->mitoses",1.0,1.0,1.0,False,3,0.9799713876967096
breast,hyfd,"['bland_chromatin', 'clump_thickness', 'marginal_adhesion', 'sample_code_number']->single_epithelial_cell_size",1.0,1.0,1.0,False,4,0.9871244635193133
breast,hyfd,"['clump_thickness', 'sample_code_number', 'single_epithelial_cell_size']->uniformity_of_cell_shape",1.0,1.0,1.0,False,3,0.9785407725321889
breast,hyfd,"['clump_thickness', 'sample_code_number', 'single_epithelial_cell_size']->normal_nucleoli",1.0,1.0,1.0,False,3,0.9785407725321889
breast,hyfd,"['bland_chromatin', 'clump_thickness', 'sample_code_number']->uniformity_of_cell_size",1.0,1.0,1.0,False,3,0.9828326180257511
breast,hyfd,"['bland_chromatin', 'clump_thickness', 'normal_nucleoli', 'sample_code_number']->single_epithelial_cell_size",1.0,1.0,1.0,False,4,0.9842632331902719
breast,hyfd,"['clump_thickness', 'normal_nucleoli', 'sample_code_number']->uniformity_of_cell_shape",1.0,1.0,1.0,False,3,0.977110157367668
breast,hyfd,"['sample_code_number', 'uniformity_of_cell_size']->class",1.0,1.0,1.0,False,2,0.9470672389127325
breast,hyfd,"['sample_code_number', 'single_epithelial_cell_size', 'uniformity_of_cell_shape', 'uniformity_of_cell_size']->normal_nucleoli",1.0,1.0,1.0,False,4,0.9642346208869814
breast,hyfd,"['marginal_adhesion', 'sample_code_number', 'uniformity_of_cell_size']->mitoses",1.0,1.0,1.0,False,3,0.9585121602288984
