dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
letter,hyfd,"['Y-ege', 'high', 'onpix', 'width', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'xegvy', 'xy2br', 'y-bar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,13,0.9164
letter,hyfd,"['Y-ege', 'high', 'onpix', 'width', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.9099
letter,hyfd,"['Y-ege', 'high', 'onpix', 'width', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-box', 'yegvx']->lettr",1.0,1.0,1.0,False,13,0.91365
letter,hyfd,"['Y-ege', 'high', 'onpix', 'width', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-bar', 'y-box']->lettr",1.0,1.0,1.0,False,12,0.90455
letter,hyfd,"['Y-ege', 'high', 'width', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.91175
letter,hyfd,"['Y-ege', 'high', 'width', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'xegvy', 'xy2br', 'xybar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.90515
letter,hyfd,"['Y-ege', 'high', 'width', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xegvy', 'xy2br', 'xybar', 'y-bar', 'y-box']->lettr",1.0,1.0,1.0,False,12,0.9021
letter,hyfd,"['Y-ege', 'high', 'onpix', 'x-bar', 'x-box', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-bar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.9106
letter,hyfd,"['Y-ege', 'high', 'onpix', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'y-bar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.90795
letter,hyfd,"['Y-ege', 'high', 'onpix', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'xegvy', 'xy2br', 'y-bar', 'y-box', 'y2bar', 'yegvx']->lettr",1.0,1.0,1.0,False,13,0.91145
letter,hyfd,"['Y-ege', 'high', 'onpix', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.9064
letter,hyfd,"['Y-ege', 'high', 'onpix', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xegvy', 'xy2br', 'xybar', 'y-bar', 'y-box']->lettr",1.0,1.0,1.0,False,12,0.89645
letter,hyfd,"['Y-ege', 'high', 'onpix', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-box', 'y2bar', 'yegvx']->lettr",1.0,1.0,1.0,False,12,0.9017
letter,hyfd,"['Y-ege', 'high', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-bar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.9076
letter,hyfd,"['Y-ege', 'high', 'x-bar', 'x-box', 'x2bar', 'x2ybr', 'xy2br', 'xybar', 'y-bar', 'y-box', 'y2bar', 'yegvx']->lettr",1.0,1.0,1.0,False,12,0.9095
letter,hyfd,"['Y-ege', 'high', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xegvy', 'xy2br', 'xybar', 'y-bar', 'y-box']->lettr",1.0,1.0,1.0,False,12,0.89835
letter,hyfd,"['Y-ege', 'high', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'x2ybr', 'xegvy', 'xy2br', 'xybar', 'y-box', 'y2bar']->lettr",1.0,1.0,1.0,False,12,0.902
letter,hyfd,"['Y-ege', 'high', 'x-bar', 'x-box', 'x-ege', 'x2bar', 'xegvy', 'xy2br', 'xybar', 'y-box', 'y2bar', 'yegvx']->lettr",1.0,1.0,1.0,False,12,0.8976
