dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
abalone,pyro,['whole_height']->shell_weight,0.02672775388059556,0.03339346848823652,0.04233409610983982,False,1,0.5815178357672971
abalone,pyro,['whole_height']->height,0.07271671521357237,0.09145765789496094,0.14302059496567507,False,1,0.5815178357672971
abalone,pyro,['whole_height']->diameter,0.06548430516301085,0.08499330404807502,0.11327231121281464,False,1,0.5815178357672971
abalone,pyro,['whole_height']->length,0.06041470329025689,0.07448068095923635,0.10183066361556065,False,1,0.5815178357672971
abalone,pyro,['shucked_weight']->whole_height,0.0022360553227359636,0.0036899185376049084,0.005634861006761833,False,1,0.3627005027531721
abalone,pyro,['whole_height']->rings,0.05842851461472787,0.07003076437589664,0.20594965675057209,False,1,0.5815178357672971
abalone,pyro,['whole_height']->shucked_weight,0.004749746347803896,0.006464939859483696,0.008581235697940504,False,1,0.5815178357672971
abalone,pyro,['whole_height']->sex,0.14077955505508044,0.14672970842776722,0.4931350114416476,False,1,0.5815178357672971
abalone,pyro,['whole_height']->viscera_weight,0.01127610328849138,0.012469687915558624,0.016590389016018305,False,1,0.5815178357672971
abalone,pyro,['shucked_weight']->viscera_weight,0.0044712253047684,0.007169551032853192,0.012021036814425245,False,1,0.3627005027531721
abalone,pyro,['shucked_weight']->rings,0.05555307779473928,0.07516545931259044,0.2400450788880541,False,1,0.3627005027531721
abalone,pyro,['shell_weight']->viscera_weight,0.005403370520810857,0.020952436624921307,0.02922177791448785,False,1,0.22169020828345704
abalone,pyro,['viscera_weight']->rings,0.06863885851418583,0.10677969094649432,0.278434940855323,False,1,0.21067751975101748
abalone,pyro,['viscera_weight']->whole_height,0.0021438615744618916,0.004835307177747327,0.008795875037913254,False,1,0.21067751975101748
abalone,pyro,['shucked_weight']->shell_weight,0.01463560732283864,0.022816963114036463,0.03643876784372652,False,1,0.3627005027531721
abalone,pyro,['shucked_weight']->height,0.05930915665760761,0.092021920976724,0.1626596543951916,False,1,0.3627005027531721
abalone,pyro,['shucked_weight']->sex,0.1446368034351293,0.15693155822152813,0.526671675432006,False,1,0.3627005027531721
abalone,pyro,['shucked_weight']->diameter,0.05422281701865361,0.07921838412472482,0.12246431254695718,False,1,0.3627005027531721
abalone,pyro,['shucked_weight']->length,0.044885459387543736,0.06849413743376256,0.10330578512396695,False,1,0.3627005027531721
abalone,pyro,['viscera_weight']->shucked_weight,0.0025583539124577337,0.004870829344316705,0.009705793145283591,False,1,0.21067751975101748
abalone,pyro,['shell_weight']->rings,0.07726003377670676,0.12315362263910652,0.27037834512457704,False,1,0.22169020828345704
abalone,pyro,['viscera_weight']->shell_weight,0.014115506708258119,0.026686219229867275,0.0497421898695784,False,1,0.21067751975101748
abalone,pyro,['shell_weight']->whole_height,0.002491179513734676,0.010161155058147889,0.017225469086434943,False,1,0.22169020828345704
abalone,pyro,['viscera_weight']->sex,0.17288938265600096,0.18722135261392978,0.5556566575674856,False,1,0.21067751975101748
abalone,pyro,['viscera_weight']->height,0.06905495508570458,0.13114550413335044,0.19684561722778282,False,1,0.21067751975101748
abalone,pyro,['viscera_weight']->diameter,0.045924759960804695,0.09028955605165845,0.1361844100697604,False,1,0.21067751975101748
abalone,pyro,['viscera_weight']->length,0.03811788631513102,0.0764758123081827,0.11768274188656354,False,1,0.21067751975101748
