dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
echocardiogram,pyro,['lvdd']->wall-motion-index,0.014432111097916867,0.0,0.13513513513513514,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->fractional-shortening,0.08163167312758712,0.17461188001132602,0.16216216216216217,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->survival,0.0,0.0,0.02702702702702703,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->epss,0.08542300262045521,0.18185456108511236,0.16216216216216217,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->wall-motion-score,0.02425030020891339,0.027239517583068626,0.10810810810810811,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->age-at-heart-attack,0.0,0.0,0.02702702702702703,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->alive-at-1,0.16708332513139557,0.15944816296225672,0.5135135135135135,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->mult,0.0,0.0,0.08108108108108109,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->pericardial-effusion,0.0,0.0,0.7297297297297297,False,1,0.7196969696969697
echocardiogram,pyro,['lvdd']->group,0.009848831882730558,0.06643798424034943,0.5135135135135135,False,1,0.7196969696969697
echocardiogram,pyro,['survival']->still-alive,0.7074303304188371,0.7109614062159874,0.8846153846153846,False,1,0.4090909090909091
echocardiogram,pyro,"['epss', 'survival']->lvdd",0.4950356266791267,0.49503562669474765,0.5,False,2,0.9848484848484849
echocardiogram,pyro,['survival']->pericardial-effusion,0.0,0.0,0.7307692307692307,False,1,0.4090909090909091
echocardiogram,pyro,['fractional-shortening']->pericardial-effusion,0.14051401312655565,0.12390400639429838,0.8,False,1,0.3939393939393939
echocardiogram,pyro,['epss']->pericardial-effusion,0.08598563121856051,0.030276564215377076,0.7755102040816326,False,1,0.6287878787878788
echocardiogram,pyro,['lvdd']->still-alive,0.04681232957095094,0.0,0.6216216216216216,False,1,0.7196969696969697
echocardiogram,pyro,['epss']->still-alive,0.09194717186272416,0.048986359751278956,0.6530612244897959,False,1,0.6287878787878788
echocardiogram,pyro,"['age-at-heart-attack', 'epss']->survival",0.0,0.0,0.0,False,2,0.946969696969697
echocardiogram,pyro,"['epss', 'survival']->mult",0.0,0.0,0.0,False,2,0.9848484848484849
echocardiogram,pyro,"['age-at-heart-attack', 'wall-motion-score']->pericardial-effusion",0.6440657033469165,0.6388808483030037,0.9166666666666666,False,2,0.9090909090909091
echocardiogram,pyro,"['fractional-shortening', 'survival']->epss",0.3201226704411424,0.3201226704528767,0.3333333333333333,False,2,0.9772727272727273
echocardiogram,pyro,['survival']->alive-at-1,0.26667693801706904,0.3011270420556856,0.6025641025641025,False,1,0.4090909090909091
echocardiogram,pyro,"['epss', 'survival']->wall-motion-index",0.0,0.0,0.0,False,2,0.9848484848484849
echocardiogram,pyro,"['epss', 'survival']->wall-motion-score",0.0,0.0,0.0,False,2,0.9848484848484849
echocardiogram,pyro,"['fractional-shortening', 'survival']->lvdd",0.3267141689055023,0.3267141689193234,0.3333333333333333,False,2,0.9772727272727273
echocardiogram,pyro,"['age-at-heart-attack', 'fractional-shortening']->still-alive",0.0,0.0,0.2,False,2,0.9621212121212122
echocardiogram,pyro,"['epss', 'survival']->fractional-shortening",0.48797820679853177,0.48797820680466814,0.5,False,2,0.9848484848484849
echocardiogram,pyro,"['age-at-heart-attack', 'fractional-shortening']->survival",0.0,0.0,0.0,False,2,0.9621212121212122
echocardiogram,pyro,"['epss', 'fractional-shortening']->lvdd",0.3363325379211385,0.44643274707503694,0.42857142857142855,False,2,0.946969696969697
echocardiogram,pyro,['epss']->group,0.06213930710553617,0.08580918142574999,0.5918367346938775,False,1,0.6287878787878788
echocardiogram,pyro,"['age-at-heart-attack', 'wall-motion-index']->pericardial-effusion",0.10079756635010984,0.10575247974786417,0.7368421052631579,False,2,0.8560606060606061
echocardiogram,pyro,"['epss', 'wall-motion-score']->alive-at-1",0.4096412964311732,0.40964129643119845,0.625,False,2,0.9393939393939394
echocardiogram,pyro,['survival']->group,0.15703527070610057,0.17586075698327613,0.6538461538461539,False,1,0.4090909090909091
echocardiogram,pyro,"['age-at-heart-attack', 'survival']->epss",0.0,0.0,0.0,False,2,0.9772727272727273
echocardiogram,pyro,"['age-at-heart-attack', 'survival']->lvdd",0.0,0.0,0.0,False,2,0.9772727272727273
echocardiogram,pyro,"['epss', 'survival']->age-at-heart-attack",0.0,0.0,0.0,False,2,0.9848484848484849
echocardiogram,pyro,"['epss', 'fractional-shortening']->survival",0.04038341881779317,0.09032009132650268,0.14285714285714285,False,2,0.946969696969697
echocardiogram,pyro,"['age-at-heart-attack', 'survival']->fractional-shortening",0.0,0.0,0.0,False,2,0.9772727272727273
echocardiogram,pyro,"['fractional-shortening', 'survival']->wall-motion-score",0.0,0.0,0.0,False,2,0.9772727272727273
echocardiogram,pyro,"['fractional-shortening', 'survival']->wall-motion-index",0.0,0.0,0.0,False,2,0.9772727272727273
echocardiogram,pyro,"['fractional-shortening', 'survival']->mult",0.0,0.0,0.0,False,2,0.9772727272727273
echocardiogram,pyro,"['age-at-heart-attack', 'fractional-shortening']->epss",0.3201226704411404,0.3581077422736403,0.4,False,2,0.9621212121212122
echocardiogram,pyro,"['wall-motion-index', 'wall-motion-score']->pericardial-effusion",0.1350103212830156,0.11694663747634779,0.7954545454545454,False,2,0.6666666666666666
echocardiogram,pyro,"['age-at-heart-attack', 'fractional-shortening']->lvdd",0.1247284195771512,0.17697669650941983,0.2,False,2,0.9621212121212122
echocardiogram,pyro,"['age-at-heart-attack', 'fractional-shortening']->group",0.22872435325602225,0.24957257380982287,0.6,False,2,0.9621212121212122
echocardiogram,pyro,"['age-at-heart-attack', 'fractional-shortening']->alive-at-1",0.0,0.0,0.2,False,2,0.9621212121212122
echocardiogram,pyro,"['age-at-heart-attack', 'epss']->lvdd",0.1343467885927887,0.1343467886001944,0.14285714285714285,False,2,0.946969696969697
echocardiogram,pyro,"['age-at-heart-attack', 'epss']->fractional-shortening",0.26854029542647395,0.2685402954288707,0.2857142857142857,False,2,0.946969696969697
