dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
sisu_ufpr_curitiba_politecnico,hyfd,['NU_CPF']->MUNICIPIO_CANDIDATO,1.0,1.0,1.0,False,1,0.9995724668661822
sisu_ufpr_curitiba_politecnico,hyfd,['NU_CPF']->SG_UF_CANDIDATO,1.0,1.0,1.0,False,1,0.9995724668661822
sisu_ufpr_curitiba_politecnico,hyfd,['NU_CPF']->TP_MOD_CONCORRENCIA,1.0,1.0,1.0,False,1,0.9995724668661822
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->NU_CLASSIFICACAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->CO_IES_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->NO_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->DS_GRAU",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_INSCRITO', 'NU_CPF']->DS_TURNO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->NU_CLASSIFICACAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->CO_IES_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->NO_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->DS_GRAU",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->DS_TURNO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->TP_SEXO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTA_CANDIDATO']->ST_OPCAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->NU_CLASSIFICACAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->CO_IES_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->NO_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->DS_GRAU",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->DS_TURNO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->TP_SEXO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DT_NASCIMENTO', 'NU_CPF']->ST_OPCAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->NU_CLASSIFICACAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->CO_IES_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->NO_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->DS_GRAU",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->DS_TURNO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->TP_SEXO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_INSCRICAO_ENEM', 'NU_CPF']->ST_OPCAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTACORTE']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTACORTE']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTACORTE']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTACORTE']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTACORTE']->NU_CLASSIFICACAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTACORTE']->TP_SEXO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CPF', 'NU_NOTACORTE']->ST_OPCAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->CO_IES_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->NO_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->DS_GRAU",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->DS_TURNO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->TP_SEXO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NU_CLASSIFICACAO', 'NU_CPF']->ST_OPCAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->NU_CLASSIFICACAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->DS_TURNO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->TP_SEXO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['CO_IES_CURSO', 'NU_CPF']->ST_OPCAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->NU_CLASSIFICACAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->CO_IES_CURSO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->DS_GRAU",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->DS_TURNO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->TP_SEXO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['NO_CURSO', 'NU_CPF']->ST_OPCAO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DS_GRAU', 'NU_CPF']->NO_INSCRITO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DS_GRAU', 'NU_CPF']->NU_NOTA_CANDIDATO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DS_GRAU', 'NU_CPF']->DT_NASCIMENTO",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DS_GRAU', 'NU_CPF']->CO_INSCRICAO_ENEM",1.0,1.0,1.0,True,-,-
sisu_ufpr_curitiba_politecnico,hyfd,"['DS_GRAU', 'NU_CPF']->NU_NOTACORTE",1.0,1.0,1.0,True,-,-
