dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
ncvoter,pyro,['voter_id']->last_name,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->birth_place,0.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->full_phone_num,0.0,0.0,0.0,False,1,0.999
ncvoter,pyro,['voter_id']->city,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->name_prefix,0.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->middle_name,0.0,0.0,0.0,False,1,0.999
ncvoter,pyro,['voter_id']->ethnic,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->zip_code,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->name_suffix,0.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->gender,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->race,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_id']->download_month,0.0,0.0,0.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->city,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->race,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->zip_code,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->last_name,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->full_phone_num,0.0,0.0,0.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->ethnic,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['street_address']->ethnic,0.21176193222005713,0.20688464980949384,0.9285714285714286,False,1,0.958
ncvoter,pyro,['street_address']->city,1.0,1.0,1.0,False,1,0.958
ncvoter,pyro,['street_address']->full_phone_num,0.0,0.5636606238034131,0.9285714285714286,False,1,0.958
ncvoter,pyro,['street_address']->race,0.6035261172705505,0.5989674839840773,0.9523809523809523,False,1,0.958
ncvoter,pyro,['voter_reg_num']->download_month,0.0,0.0,0.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->name_suffix,0.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['street_address']->zip_code,1.0,1.0,1.0,False,1,0.958
ncvoter,pyro,['voter_reg_num']->birth_place,0.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['voter_reg_num']->gender,1.0,1.0,1.0,False,1,0.999
ncvoter,pyro,['street_address']->download_month,0.025744226086319655,0.02304598567956597,0.5238095238095238,False,1,0.958
ncvoter,pyro,['zip_code']->city,0.9933492022052933,0.9953637290377039,0.9960578186596584,False,1,0.239
ncvoter,pyro,['voter_reg_num']->middle_name,0.0,0.0,0.0,False,1,0.999
ncvoter,pyro,['street_address']->name_suffix,0.0,0.47392576283654203,1.0,False,1,0.958
ncvoter,pyro,['street_address']->gender,0.0,0.0,0.21428571428571427,False,1,0.958
ncvoter,pyro,['street_address']->birth_place,0.0,0.6560214875148004,0.9523809523809523,False,1,0.958
ncvoter,pyro,['street_address']->middle_name,0.0,0.027943705314498853,0.30952380952380953,False,1,0.958
ncvoter,pyro,['last_name']->full_phone_num,0.0,0.06424518285141002,0.7869318181818182,False,1,0.648
ncvoter,pyro,['last_name']->ethnic,0.36246767642911304,0.36148384201639344,0.9488636363636364,False,1,0.648
ncvoter,pyro,['last_name']->zip_code,0.16573597446241095,0.17367762278870696,0.22443181818181818,False,1,0.648
ncvoter,pyro,['last_name']->city,0.1828722037471765,0.18578736510514943,0.2528409090909091,False,1,0.648
ncvoter,pyro,['street_address']->last_name,0.737697188984628,0.714197337455607,0.7380952380952381,False,1,0.958
ncvoter,pyro,['last_name']->download_month,0.04143042534407548,0.0389958607366879,0.5852272727272727,False,1,0.648
ncvoter,pyro,['first_name']->gender,0.858771063558445,0.8508187615302197,0.949814126394052,False,1,0.462
ncvoter,pyro,['first_name']->full_phone_num,0.0,0.01877104926345219,0.7434944237918215,False,1,0.462
ncvoter,pyro,['last_name']->birth_place,0.0,0.2768027361753787,0.9318181818181818,False,1,0.648
ncvoter,pyro,['first_name']->ethnic,0.0,0.0,0.929368029739777,False,1,0.462
ncvoter,pyro,['first_name']->city,0.019653953773205224,0.03326531300580517,0.10223048327137546,False,1,0.462
ncvoter,pyro,['zip_code']->full_phone_num,0.0,0.07006663053776381,0.7227332457293035,False,1,0.239
ncvoter,pyro,['last_name']->name_suffix,0.0,0.07890713508508883,1.0,False,1,0.648
ncvoter,pyro,['first_name']->zip_code,0.005911672033063087,0.012303170213800929,0.05018587360594796,False,1,0.462
ncvoter,pyro,['first_name']->last_name,0.004272405084683295,0.007749569613827115,0.016728624535315983,False,1,0.462
ncvoter,pyro,['zip_code']->ethnic,0.24202463195769242,0.2630745037571047,0.9500657030223391,False,1,0.239
ncvoter,pyro,['last_name']->race,0.3688178365311118,0.3774569588766343,0.9289772727272727,False,1,0.648
