dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
shooting_incident,fdx,['LOC_CLASSFCTN_DESC']->LOCATION_DESC,0.7162069933050617,0.6907871378616139,0.9052901023890785,False,1,0.008460236886632826
shooting_incident,fdx,['LOC_CLASSFCTN_DESC']->LOC_OF_OCCUR_DESC,0.4674698576307895,0.44700805750408795,0.886518771331058,False,1,0.008460236886632826
shooting_incident,fdx,['PERP_AGE_GROUP']->PERP_SEX,0.9421845887576996,0.9060673104064114,0.9846808510638297,False,1,0.005922165820642978
shooting_incident,fdx,"['PERP_AGE_GROUP', 'PERP_SEX']->PERP_RACE",0.5184040348800841,0.5365901126486635,0.7690333618477331,False,2,0.010998307952622674
shooting_incident,fdx,['X_COORD_CD']->Y_COORD_CD,0.9538067680188987,0.9626141757454386,0.9576271186440678,False,1,0.700507614213198
shooting_incident,fdx,"['X_COORD_CD', 'Y_COORD_CD']->Latitude",0.8845270809364557,0.9967740062431621,0.9970674486803519,False,2,0.7115059221658206
shooting_incident,fdx,"['X_COORD_CD', 'Latitude']->Longitude",0.888112982740571,1.0,1.0,False,2,0.7123519458544839
shooting_incident,fdx,"['X_COORD_CD', 'OCCUR_TIME', 'Y_COORD_CD']->New Georeferenced Column",0.8636514032454389,1.0,1.0,False,3,0.7639593908629442
shooting_incident,fdx,['New Georeferenced Column']->BORO,0.8553502233089618,1.0,1.0,False,1,0.6903553299492385
shooting_incident,fdx,['Y_COORD_CD']->PRECINCT,0.965587272416968,0.9708790014542855,0.9714285714285714,False,1,0.7038917089678511
shooting_incident,fdx,['BORO']->VIC_SEX,0.0,0.0014634619639535664,0.8887000849617672,False,1,0.004230118443316413
shooting_incident,fdx,['BORO']->STATISTICAL_MURDER_FLAG,0.00019658952838730315,0.002613775246680276,0.7969413763806287,False,1,0.004230118443316413
shooting_incident,fdx,"['OCCUR_TIME', 'New Georeferenced Column']->OCCUR_DATE",0.860172984433774,0.9980524807884469,0.9964285714285714,False,2,0.7631133671742809
