dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
arrest_data_to_data,hyfd,['ARREST_KEY']->Latitude,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->Longitude,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->New Georeferenced Column,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->Y_COORD_CD,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->X_COORD_CD,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->LAW_CODE,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->ARREST_DATE,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->PD_CD,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->PD_DESC,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->ARREST_PRECINCT,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->KY_CD,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->OFNS_DESC,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->JURISDICTION_CODE,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->PERP_RACE,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->LAW_CAT_CD,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->ARREST_BORO,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->AGE_GROUP,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['ARREST_KEY']->PERP_SEX,1.0,1.0,1.0,True,-,-
arrest_data_to_data,hyfd,['Latitude']->Longitude,0.9836554691280791,1.0,1.0,False,1,0.7547547547547547
