dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
wifi_hotspot_location,hyfd,['OBJECTID']->DOITT_ID,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->X,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,"['OBJECTID']->Location (Lat, Long)",1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Latitude,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Longitude,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Y,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Location,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Name,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->BBL,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->BIN,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->SourceID,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Census Tract,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->BCTCB2010,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Activated,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Remarks,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Neighborhood Tabulation Area (NTA),1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Neighborhood Tabulation Area Code (NTACODE),1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Postcode,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->BoroCD,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Council Distrcit,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->City,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Provider,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Location_T,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->SSID,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Borough,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->BoroCode,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Borough Name,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['OBJECTID']->Type,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->OBJECTID,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->X,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,"['DOITT_ID']->Location (Lat, Long)",1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Latitude,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Longitude,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Y,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Location,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Name,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->BBL,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->BIN,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->SourceID,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Census Tract,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->BCTCB2010,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Activated,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Remarks,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Neighborhood Tabulation Area (NTA),1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Neighborhood Tabulation Area Code (NTACODE),1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Postcode,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->BoroCD,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Council Distrcit,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->City,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Provider,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Location_T,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->SSID,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Borough,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->BoroCode,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Borough Name,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,['DOITT_ID']->Type,1.0,1.0,1.0,True,-,-
wifi_hotspot_location,hyfd,"['X']->Location (Lat, Long)",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Latitude,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Longitude,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Y,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->SourceID,0.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Activated,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Remarks,0.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Neighborhood Tabulation Area (NTA),1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Neighborhood Tabulation Area Code (NTACODE),1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Postcode,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->BoroCD,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Council Distrcit,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->City,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Provider,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->SSID,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Borough,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->BoroCode,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Borough Name,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,['X']->Type,1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location', 'X']->Name",0.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'X']->BBL",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'X']->BIN",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'X']->Census Tract",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'X']->BCTCB2010",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['BBL', 'X']->BIN",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BBL', 'X']->Census Tract",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BBL', 'X']->BCTCB2010",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BIN', 'X']->BBL",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BIN', 'X']->Census Tract",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BIN', 'X']->BCTCB2010",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['Census Tract', 'X']->BBL",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['Census Tract', 'X']->BIN",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BCTCB2010', 'X']->BBL",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BCTCB2010', 'X']->BIN",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->X",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Latitude",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Longitude",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Y",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->SourceID",0.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Activated",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Remarks",0.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Neighborhood Tabulation Area (NTA)",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Neighborhood Tabulation Area Code (NTACODE)",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Postcode",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->BoroCD",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Council Distrcit",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->City",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Provider",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->SSID",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Borough",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->BoroCode",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Borough Name",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location (Lat, Long)']->Type",1.0,1.0,1.0,False,1,0.9490810485085869
wifi_hotspot_location,hyfd,"['Location', 'Location (Lat, Long)']->Name",0.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'Location (Lat, Long)']->BBL",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'Location (Lat, Long)']->BIN",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'Location (Lat, Long)']->Census Tract",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['Location', 'Location (Lat, Long)']->BCTCB2010",1.0,1.0,1.0,False,2,0.9734859897559506
wifi_hotspot_location,hyfd,"['BBL', 'Location (Lat, Long)']->BIN",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BBL', 'Location (Lat, Long)']->Census Tract",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BBL', 'Location (Lat, Long)']->BCTCB2010",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BIN', 'Location (Lat, Long)']->BBL",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BIN', 'Location (Lat, Long)']->Census Tract",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['BIN', 'Location (Lat, Long)']->BCTCB2010",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['Census Tract', 'Location (Lat, Long)']->BBL",1.0,1.0,1.0,False,2,0.9496836396504972
wifi_hotspot_location,hyfd,"['Census Tract', 'Location (Lat, Long)']->BIN",1.0,1.0,1.0,False,2,0.9496836396504972
