dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
threshold,pyro,['lettr']->xy2br,0.13351796492226953,0.23764574149295503,0.4265450861195542,False,1,0.013
threshold,pyro,['lettr']->x-bar,0.08243379849194399,0.15789375767531713,0.35612968591691996,False,1,0.013
threshold,pyro,['lettr']->width,0.013825592496633177,0.04086181173221925,0.23708206686930092,False,1,0.013
threshold,pyro,['lettr']->y-bar,0.13503849999838635,0.25603716211850813,0.41033434650455924,False,1,0.013
threshold,pyro,['lettr']->xybar,0.08014500659263368,0.1806513400096207,0.32776089159067884,False,1,0.013
threshold,pyro,['lettr']->y-box,0.0002929172900376642,0.0,0.15096251266464034,False,1,0.013
threshold,pyro,['lettr']->xegvy,0.25412253617455594,0.3268241021503873,0.5729483282674772,False,1,0.013
threshold,pyro,['lettr']->x2bar,0.0775288411450683,0.18942410321259923,0.27710233029381964,False,1,0.013
threshold,pyro,['lettr']->yegvx,0.08597883977510523,0.13409390637629,0.4564336372847011,False,1,0.013
threshold,pyro,['lettr']->high,0.0026257626795984645,0.009578902841540338,0.21428571428571427,False,1,0.013
threshold,pyro,['lettr']->x-ege,0.208412965588624,0.3091527517267483,0.4817629179331307,False,1,0.013
threshold,pyro,['y-box']->lettr,5.24986788054127e-05,0.0,0.06854838709677419,False,1,0.008
threshold,pyro,['y-box']->xy2br,0.003692755264577907,0.0044140141816807294,0.3371975806451613,False,1,0.008
threshold,pyro,['Y-ege']->xy2br,0.05233263800230625,0.06348394479987204,0.3393756294058409,False,1,0.007
threshold,pyro,['y2bar']->xy2br,0.029535127559776497,0.04305109792789696,0.33669354838709675,False,1,0.008
threshold,pyro,['y-box']->x-bar,0.004880488643889347,0.012177600030950267,0.3024193548387097,False,1,0.008
threshold,pyro,['y-box']->width,0.09438054091614267,0.19550559395452563,0.3155241935483871,False,1,0.008
threshold,pyro,['Y-ege']->x-bar,0.0277715161283123,0.05963784945612001,0.30513595166163143,False,1,0.007
threshold,pyro,['x2bar']->xy2br,0.03512310435331756,0.04881430958048494,0.33568548387096775,False,1,0.008
threshold,pyro,['Y-ege']->width,0.011585134563248944,0.032475468304641826,0.23313192346424974,False,1,0.007
threshold,pyro,['y-box']->yegvx,0.012416955344507041,0.02489548405203963,0.41481854838709675,False,1,0.008
threshold,pyro,['y2bar']->x-bar,0.016818198083331293,0.03806234602492902,0.3014112903225806,False,1,0.008
threshold,pyro,['y-box']->high,0.4357605459481828,0.540544027920733,0.6496975806451613,False,1,0.008
threshold,pyro,['Y-ege']->yegvx,0.0901144888352432,0.11230580574882074,0.4214501510574018,False,1,0.007
threshold,pyro,['x2ybr']->x-bar,0.06786895752041588,0.14267732228828803,0.3503024193548387,False,1,0.008
threshold,pyro,['y2bar']->yegvx,0.024588180551139427,0.025310763658506073,0.41381048387096775,False,1,0.008
threshold,pyro,['x2bar']->x-bar,0.026204199607052336,0.041860610718141435,0.2998991935483871,False,1,0.008
threshold,pyro,['y-box']->xybar,0.02159828711947831,0.02869615710176421,0.29485887096774194,False,1,0.008
threshold,pyro,['x2bar']->yegvx,0.03688645808522928,0.04763745876087519,0.4128024193548387,False,1,0.008
threshold,pyro,['y-box']->y-bar,0.00720899754894444,0.01317471621783595,0.3094758064516129,False,1,0.008
threshold,pyro,['x2ybr']->yegvx,0.04256204978478251,0.06784851297525048,0.41330645161290325,False,1,0.008
threshold,pyro,['x2ybr']->y-bar,0.11829002105579389,0.18990451575676504,0.4002016129032258,False,1,0.008
threshold,pyro,['Y-ege']->xybar,0.026156678147481238,0.06488512525502135,0.28600201409869086,False,1,0.007
threshold,pyro,['Y-ege']->y-bar,0.021817279264176315,0.04793974825290178,0.31822759315206445,False,1,0.007
threshold,pyro,['x2bar']->xybar,0.0402998732043266,0.06421736729605364,0.32056451612903225,False,1,0.008
threshold,pyro,['x2bar']->y-bar,0.01595431137156389,0.03861733455449702,0.3079637096774194,False,1,0.008
threshold,pyro,['y2bar']->xybar,0.027354395425711497,0.05276246426563851,0.2933467741935484,False,1,0.008
threshold,pyro,['y2bar']->y-bar,0.018126508548463538,0.03920780849174757,0.31149193548387094,False,1,0.008
threshold,pyro,['y-box']->x2bar,0.005961884607527779,0.0156085448219885,0.1930443548387097,False,1,0.008
threshold,pyro,['high']->y-box,0.29090078829933286,0.45549327853621363,0.5095766129032258,False,1,0.008
threshold,pyro,['Y-ege']->x2bar,0.02681615732410092,0.08509982229903185,0.21953675730110775,False,1,0.007
threshold,pyro,['y-box']->xegvy,0.00999527968265368,0.014466762791501454,0.4032258064516129,False,1,0.008
threshold,pyro,['x2ybr']->xegvy,0.11715818434432901,0.15638507469736673,0.45463709677419356,False,1,0.008
threshold,pyro,['Y-ege']->xegvy,0.02051419225089679,0.03369667455899439,0.40130916414904333,False,1,0.007
threshold,pyro,['x2bar']->xegvy,0.039522554053813996,0.05421500996675171,0.40524193548387094,False,1,0.008
threshold,pyro,"['Y-ege', 'x2bar']->lettr",0.16958384881172672,0.3313516242060644,0.32063492063492066,False,2,0.055
threshold,pyro,"['high', 'xybar']->x-bar",0.06684713084632443,0.1071388652729846,0.3441033925686591,False,2,0.0715
threshold,pyro,['y-box']->x-ege,0.02291803506681045,0.0364014560640444,0.28326612903225806,False,1,0.008
threshold,pyro,"['x-box', 'y2bar']->width",0.2384513739440174,0.39755005914824765,0.4635444385311336,False,2,0.0605
threshold,pyro,"['high', 'x2ybr']->xy2br",0.03422999571743435,0.034568012450328874,0.34838709677419355,False,2,0.07
threshold,pyro,"['high', 'x-ege']->y-bar",0.043726764114356054,0.06710920620279456,0.32432432432432434,False,2,0.0565
threshold,pyro,['y2bar']->xegvy,0.023863285251102706,0.031919613635860634,0.4007056451612903,False,1,0.008
threshold,pyro,"['x2bar', 'y2bar']->high",0.025321633777658614,0.04698533831609708,0.2436929683306495,False,2,0.0685
threshold,pyro,"['width', 'x2ybr']->xybar",0.0637594176146683,0.09811488856933129,0.3306408185245019,False,2,0.0715
threshold,pyro,['y-bar']->xegvy,0.137046862458988,0.18432918160182438,0.48588709677419356,False,1,0.008
threshold,pyro,"['high', 'x-ege']->yegvx",0.03578489983753108,0.05490625208805875,0.4117647058823529,False,2,0.0565
threshold,pyro,['Y-ege']->high,0.01095261365295186,0.03061612380365882,0.2054380664652568,False,1,0.007
threshold,pyro,['Y-ege']->x-ege,0.029722248892936398,0.055948587276382335,0.2804632426988922,False,1,0.007
