dataset,algorithm,fd,mu_plus,rfi_prime_plus,g3_prime,is_key,lhs_size,lhs_uniqueness
threshold,pyro,['fnlwgt']->age,0.21450687987137307,0.22419853948723922,0.24489795918367346,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->Marital-status,0.30470037835728436,0.2968125923413986,0.5510204081632653,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->Hours-per-week,0.1481373975432454,0.15494257850931456,0.3673469387755102,False,1,0.9727626459143969
threshold,pyro,['age']->fnlwgt,0.00032083868425381024,0.0023498805534141803,0.004618937644341801,False,1,0.03724291272929405
threshold,pyro,['fnlwgt']->relationship,0.2608502450860606,0.25575162767464066,0.46938775510204084,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->income,0.004663854396061096,0.004956305584759914,0.6326530612244898,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->Education-num,0.0026437934215722825,0.0028161654580472146,0.20408163265306123,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->occupation,0.0,0.002856070288839285,0.10204081632653061,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->education,0.0026437934215722825,0.0028161654580472146,0.20408163265306123,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->sex,0.8900627620039975,0.8882861559960923,0.9591836734693877,False,1,0.9727626459143969
threshold,pyro,['fnlwgt']->workclass,0.0,0.0,0.46938775510204084,False,1,0.9727626459143969
threshold,pyro,['Education-num']->education,1.0,1.0,1.0,False,1,0.008893829905503057
threshold,pyro,['age']->education,0.03798606393958415,0.07086209640260768,0.35161662817551964,False,1,0.03724291272929405
threshold,pyro,['age']->occupation,0.01629438595854993,0.03319759529754413,0.19110854503464203,False,1,0.03724291272929405
threshold,pyro,['occupation']->education,0.059996564806481856,0.11540120392787924,0.39125560538116594,False,1,0.008337965536409116
threshold,pyro,['Education-num']->occupation,0.05765768507227009,0.0941776129550987,0.21929332585530006,False,1,0.008893829905503057
threshold,pyro,['age']->sex,0.019565091060317008,0.014978610323049861,0.6766743648960739,False,1,0.03724291272929405
threshold,pyro,['Hours-per-week']->education,0.00984826596077204,0.02320751074851519,0.3389048991354467,False,1,0.03557531962201223
threshold,pyro,['education']->occupation,0.05765768507227009,0.0941776129550987,0.21929332585530006,False,1,0.008893829905503057
threshold,pyro,['occupation']->sex,0.1430078035836594,0.12415063811840481,0.7174887892376681,False,1,0.008337965536409116
threshold,pyro,['relationship']->education,0.006628023228308022,0.016088510514197588,0.339654210819855,False,1,0.0033351862145636463
threshold,pyro,['age']->Hours-per-week,0.01862548498594263,0.046296623616094636,0.46131639722863743,False,1,0.03724291272929405
threshold,pyro,['Hours-per-week']->occupation,0.024854152137822827,0.04511091550858039,0.18962536023054755,False,1,0.03557531962201223
threshold,pyro,['age']->relationship,0.12720398330190508,0.14332424054170873,0.5092378752886836,False,1,0.03724291272929405
threshold,pyro,['Marital-status']->education,0.005919508028859322,0.012758717948634474,0.33203125,False,1,0.0038910505836575876
threshold,pyro,['relationship']->sex,0.41466014597938616,0.4259880923779585,0.7847183491355271,False,1,0.0033351862145636463
threshold,pyro,['age']->income,0.11146753057321857,0.13275726813012417,0.7396073903002309,False,1,0.03724291272929405
threshold,pyro,['occupation']->Hours-per-week,0.02337513402244551,0.046482191161725965,0.4674887892376682,False,1,0.008337965536409116
threshold,pyro,['occupation']->relationship,0.04609030721417695,0.05057538622200167,0.43946188340807174,False,1,0.008337965536409116
threshold,pyro,['occupation']->income,0.1323981259570448,0.12083437695573036,0.7539237668161435,False,1,0.008337965536409116
threshold,pyro,['age']->Marital-status,0.2085583937079405,0.20292332823463846,0.624133949191686,False,1,0.03724291272929405
threshold,pyro,['education']->Education-num,1.0,1.0,1.0,False,1,0.008893829905503057
threshold,pyro,['age']->workclass,0.039908630339532514,0.05447850381942274,0.687066974595843,False,1,0.03724291272929405
threshold,pyro,['Marital-status']->relationship,0.42053337090668774,0.4941510305198574,0.6768973214285714,False,1,0.0038910505836575876
threshold,pyro,['education']->income,0.12122088177646384,0.10716896925801352,0.7627593942793045,False,1,0.008893829905503057
threshold,pyro,['age']->Education-num,0.03798606393958426,0.07086209640260784,0.35161662817551964,False,1,0.03724291272929405
threshold,pyro,['Education-num']->relationship,0.01706258473276001,0.021936569347310156,0.4105440269209198,False,1,0.008893829905503057
threshold,pyro,['occupation']->workclass,0.2425151960791343,0.29811948887364964,0.7595291479820628,False,1,0.008337965536409116
threshold,pyro,['Education-num']->income,0.12122088177646384,0.10716896925801365,0.7627593942793045,False,1,0.008893829905503057
threshold,pyro,['relationship']->occupation,0.015324199990936371,0.03038466149537056,0.17289459007250418,False,1,0.0033351862145636463
threshold,pyro,['occupation']->fnlwgt,0.0,1.9551814925629168e-05,0.002242152466367713,False,1,0.008337965536409116
threshold,pyro,['Education-num']->sex,0.004993121039230997,0.004857756192620854,0.6803140773976444,False,1,0.008893829905503057
threshold,pyro,['occupation']->age,0.002807405830413723,0.019909651446370608,0.05493273542600897,False,1,0.008337965536409116
threshold,pyro,['education']->relationship,0.01706258473276001,0.021936569347310156,0.4105440269209198,False,1,0.008893829905503057
