fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['g']->n,0.031395443541785584,0.03715593418019181,0.27945,0.278873098478783,False,0.03706410799025004
"['g', 'n']->i",0.06194312650116218,0.14265116189046545,0.26315,0.25690802743041546,False,0.13932480229613464
"['g', 'n', 'i']->p",0.22363189713966536,0.30864989519153324,0.44965,0.42350599696223745,False,0.2795551455857449
"['g', 'n', 'i', 'p']->h",0.31191321063944755,0.4219347304900346,0.61305,0.5351393560788082,False,0.2941668419871342
"['g', 'n', 'i', 'p', 'h']->m",0.4973639220192464,0.5779079269170253,0.7853,0.6641113892365457,False,0.2884667506838704
"['g', 'n', 'i', 'p', 'h', 'm']->q",0.6380900209204681,0.6996324601909901,0.8865,0.7722255669275537,False,0.2709445989318554
"['g', 'n', 'i', 'p', 'h', 'q']->l",0.6196169187768301,0.6996774232701992,0.86705,0.7378229146125025,False,0.2629415966579214
"['n', 'h', 'q', 'l']->o",0.46783173587493787,0.5442340180157348,0.7356,0.6806184695295041,False,0.402193578375736
"['g', 'n', 'p', 'q']->f",0.2084301800416768,0.32056818262287823,0.5302,0.43844131006454695,False,0.23694458019356118
"['g', 'n', 'f']->e",0.1366872283605569,0.2501115463623848,0.3849,0.3527307166158055,False,0.22570257211515765
"['g', 'n', 'f', 'e']->d",0.24177686928398956,0.37397629557706585,0.54695,0.46292454507735165,False,0.2763220332954764
"['g', 'n', 'e', 'd']->c",0.3490615396101181,0.4923493661352873,0.6091500000000001,0.5302283653846154,False,0.34413481831700926
"['g', 'e', 'c']->a",0.08331536355860014,0.160941188865934,0.21835000000000004,0.19129894987326057,False,0.14433576170025914
"['n', 'd', 'c']->b",0.37440234539776596,0.5205297236879958,0.60865,0.5885723296888141,False,0.4689947878287786
"['n', 'i', 'p', 'm']->j",0.32087341945458503,0.443524708644555,0.5999,0.517864674338736,False,0.31489377304196975
"['g', 'i', 'h', 'm']->k",0.35113590342773815,0.45185602749507475,0.6301,0.5614960583249363,False,0.3263961051084298
