fd,mu,rfi
['ethnic']->race,0.010371168871551095,0.034176281058833885
"['ethnic', 'race']->register_date",0.0021083801124812673,0.02650497045135912
"['ethnic', 'register_date']->download_month",0.03261081239979813,0.024846281765897427
"['ethnic', 'register_date']->zip_code",0.04721926347986882,0.07296996590689131
"['register_date', 'zip_code']->street_address",0.04061871927781535,0.004032841673406895
['gender']->first_name,0.0039433382894028535,0.05536196551523885
['street_address']->last_name,0.737697188984628,0.00683585503637707
['zip_code']->city,0.9933492022052933,0.4320063828160824
['city']->full_phone_num,-0.1413409779420527,0.03539518106730599
['race']->ethnic,0.043731753850260735,0.04788726900414099
"['race', 'ethnic']->download_month",0.012057296139747375,0.023730256221501145
"['race', 'download_month']->register_date",0.004298939342138208,0.0279514707489565
['register_date']->street_address,0.003378639184940968,0.0036417800807758693
['street_address']->city,1.0,0.013055109859034797
['street_address']->last_name,0.737697188984628,0.00683585503637707
['gender']->first_name,0.0039433382894028535,0.05536196551523885
['ethnic']->birth_place,0.0031211058098219446,0.03010787821290382
['ethnic']->race,0.010371168871551095,0.034176281058833885
['first_name']->gender,0.8587710635584459,0.4589316284441638
"['first_name', 'street_address']->last_name",1.0,-5.84976511674995e-12
"['street_address', 'last_name']->city",1.0,0.009342529856790183
['street_address']->register_date,0.4396059373274137,0.005873776797795438
['ethnic']->race,0.010371168871551095,0.034176281058833885
"['ethnic', 'race']->register_date",0.0021083801124812673,0.02650497045135912
"['ethnic', 'register_date']->download_month",0.03261081239979813,0.024846281765897427
"['ethnic', 'register_date']->zip_code",0.04721926347986882,0.07296996590689131
"['register_date', 'zip_code']->street_address",0.04061871927781535,0.004032841673406895
['gender']->first_name,0.0039433382894028535,0.05536196551523885
['street_address']->last_name,0.737697188984628,0.00683585503637707
['zip_code']->city,0.9933492022052933,0.4320063828160824
['city']->full_phone_num,-0.1413409779420527,0.03539518106730599
