fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
"['e', 'f', 'h']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['e', 'f', 'h']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['e', 'f', 'h']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['e', 'f', 'h']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['e', 'f', 'h']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['e', 'f', 'h']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['e', 'f', 'g']->c",1.0,1.0,1.0,1.0,False,7.559379404720179e-05
"['e', 'f', 'g']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['b', 'e', 'f', 'g']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['b', 'e', 'f', 'g']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['d', 'e', 'f', 'g']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['d', 'e', 'f', 'g']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['d', 'e', 'f', 'g']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['e', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['e', 'f', 'g', 'i']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['e', 'f', 'g', 'i']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['b', 'e', 'f']->i",1.0,1.0,1.0,1.0,False,0.00011906286119867104
"['b', 'c', 'e', 'f']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['b', 'c', 'e', 'f']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['b', 'd', 'e', 'f']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['b', 'd', 'e', 'f']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['b', 'd', 'e', 'f']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['b', 'd', 'e', 'f']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['a', 'b', 'e', 'f']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['a', 'b', 'e', 'f']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['a', 'b', 'e', 'f']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['a', 'b', 'e', 'f']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['c', 'e', 'f']->g",1.0,1.0,1.0,1.0,False,5.032018775219527e-05
"['c', 'e', 'f']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['c', 'd', 'e', 'f']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['c', 'd', 'e', 'f']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['c', 'd', 'e', 'f']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['c', 'e', 'f', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['c', 'e', 'f', 'i']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['c', 'e', 'f', 'i']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['e', 'g', 'h']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['e', 'g', 'h']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['e', 'g', 'h']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['e', 'g', 'h']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['e', 'g', 'h']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['e', 'g', 'h']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['b', 'c', 'e', 'h']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['b', 'c', 'e', 'h']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['b', 'c', 'e', 'h']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['b', 'c', 'e', 'h']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['b', 'c', 'e', 'h']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['a', 'b', 'd', 'e', 'h']->i",1.0,1.0,1.0,1.0,False,0.00023812572326387116
"['b', 'e', 'h', 'i']->a",1.0,1.0,1.0,1.0,False,0.0008055848861149295
"['c', 'd', 'e', 'h']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['c', 'd', 'e', 'h', 'i']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['c', 'd', 'e', 'h', 'i']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['c', 'd', 'e', 'h', 'i']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['a', 'd', 'e', 'h', 'i']->b",1.0,1.0,1.0,1.0,False,0.00014511619581847324
"['b', 'd', 'e', 'g']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['b', 'd', 'e', 'g']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['b', 'd', 'e', 'g']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['b', 'd', 'e', 'g']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['b', 'd', 'e', 'g']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['b', 'e', 'g', 'i']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['b', 'e', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['b', 'e', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['b', 'e', 'g', 'i']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['b', 'e', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['c', 'e', 'g']->a",1.0,1.0,1.0,1.0,False,0.0006041886645762329
"['c', 'e', 'g', 'i']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['c', 'e', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['c', 'e', 'g', 'i']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['c', 'e', 'g', 'i']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['a', 'd', 'e', 'g']->c",1.0,1.0,1.0,1.0,False,7.559379404720179e-05
"['a', 'e', 'g', 'i']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['a', 'e', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['a', 'e', 'g', 'i']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['a', 'e', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['a', 'e', 'g', 'i']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['b', 'c', 'd', 'e']->a",1.0,1.0,1.0,1.0,False,0.00040279244303753625
"['b', 'c', 'd', 'e', 'i']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['b', 'c', 'd', 'e', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['b', 'c', 'd', 'e', 'i']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['b', 'd', 'e', 'i']->a",1.0,1.0,1.0,1.0,False,0.0008055848861149295
"['b', 'f', 'g', 'h']->c",1.0,1.0,1.0,1.0,False,7.559379404720179e-05
"['b', 'f', 'g', 'h']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['c', 'f', 'g', 'h']->a",1.0,1.0,1.0,1.0,False,0.00040279244303753625
"['d', 'f', 'g', 'h']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['d', 'f', 'g', 'h']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['d', 'f', 'g', 'h']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['d', 'f', 'g', 'h']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['d', 'f', 'g', 'h']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['b', 'c', 'd', 'f', 'h', 'i']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['b', 'c', 'd', 'f', 'h', 'i']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['a', 'b', 'c', 'd', 'f', 'h']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['a', 'b', 'c', 'd', 'f', 'h']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['b', 'c', 'f', 'h', 'i']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['b', 'd', 'f', 'h', 'i']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['a', 'b', 'd', 'f', 'h']->i",1.0,1.0,1.0,1.0,False,0.00011906286119867104
"['c', 'd', 'f', 'h', 'i']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['b', 'd', 'f', 'g']->c",1.0,1.0,1.0,1.0,False,7.559379404720179e-05
"['a', 'b', 'd', 'f', 'g']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['a', 'b', 'd', 'f', 'g']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['b', 'f', 'g', 'i']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['b', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['b', 'f', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['b', 'f', 'g', 'i']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['b', 'f', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['a', 'b', 'f', 'g']->h",1.0,1.0,1.0,1.0,False,5.4105975700213804e-05
"['a', 'b', 'f', 'g']->c",1.0,1.0,1.0,1.0,False,7.559379404720179e-05
"['c', 'd', 'f', 'g']->b",1.0,1.0,1.0,1.0,False,7.255809753914377e-05
"['a', 'c', 'd', 'f', 'g']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['a', 'c', 'd', 'f', 'g']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['a', 'c', 'd', 'f', 'g']->i",1.0,1.0,1.0,1.0,True,-8.65529869997772e-13
"['c', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,False,5.4105975700213804e-05
"['c', 'f', 'g', 'i']->a",1.0,1.0,1.0,1.0,False,0.0002013962214987286
"['d', 'f', 'g', 'i']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['d', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['d', 'f', 'g', 'i']->b",1.0,1.0,1.0,1.0,True,-7.400746682151293e-13
"['d', 'f', 'g', 'i']->c",1.0,1.0,1.0,1.0,True,5.252465129501616e-13
"['d', 'f', 'g', 'i']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['a', 'f', 'g', 'i']->h",1.0,1.0,1.0,1.0,False,5.4105975700213804e-05
"['a', 'f', 'g', 'i']->c",1.0,1.0,1.0,1.0,False,7.559379404720179e-05
"['a', 'b', 'c', 'd', 'f', 'i']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['a', 'b', 'c', 'd', 'f', 'i']->h",1.0,1.0,1.0,1.0,True,1.4226175792941831e-11
"['a', 'b', 'c', 'd', 'f', 'i']->g",1.0,1.0,1.0,1.0,True,1.3454015679315035e-11
"['a', 'b', 'c', 'd', 'g', 'h']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['b', 'c', 'g', 'h', 'i']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
"['b', 'c', 'g', 'h', 'i']->f",1.0,1.0,1.0,1.0,True,1.8011703240006227e-11
"['b', 'c', 'g', 'h', 'i']->d",1.0,1.0,1.0,1.0,True,-2.913225216616411e-13
"['b', 'c', 'g', 'h', 'i']->a",1.0,1.0,1.0,1.0,True,-3.9968028886505635e-14
"['a', 'b', 'c', 'g', 'h']->f",1.0,1.0,1.0,1.0,False,4.6404773223707174e-05
"['a', 'b', 'g', 'h', 'i']->e",1.0,1.0,1.0,1.0,True,9.263256828262456e-12
