fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
"['b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.04086755329835434
"['b', 'c', 'd', 'e', 'f', 'g', 'i', 'j', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.04421864139031495
"['b', 'c', 'd', 'e', 'f', 'g', 'i', 'k', 'l', 'm', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.042718919295720026
"['b', 'c', 'd', 'e', 'f', 'h', 'i', 'k', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.04718421007118201
"['b', 'c', 'd', 'e', 'g', 'i', 'j', 'k', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.04358493245159423
"['b', 'c', 'd', 'e', 'g', 'i', 'j', 'k', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.046851621457207226
"['b', 'c', 'd', 'e', 'h', 'i', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.0489005844370205
"['b', 'c', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'p']->a",1.0,1.0,1.0,1.0,False,0.044147054214250026
"['b', 'c', 'e', 'f', 'g', 'h', 'i', 'j', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.04528705735852234
"['b', 'c', 'e', 'f', 'g', 'h', 'i', 'j', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.04368972999758369
"['b', 'c', 'e', 'f', 'g', 'i', 'j', 'k', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.04618150218710493
"['b', 'c', 'e', 'f', 'h', 'i', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.051681674492334184
"['b', 'c', 'e', 'f', 'i', 'j', 'k', 'l', 'm', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.04867108341837456
"['b', 'c', 'e', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.045701503321633585
"['b', 'c', 'e', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.04510875981789131
"['b', 'c', 'e', 'g', 'h', 'i', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.05107835481433831
"['b', 'c', 'e', 'g', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.048737194620774194
"['b', 'c', 'e', 'g', 'i', 'j', 'k', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.05106478102078027
"['b', 'c', 'e', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.04933261701082958
"['b', 'c', 'e', 'h', 'i', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.05334609933509593
"['b', 'c', 'e', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.050703903893412505
"['b', 'd', 'e', 'h', 'i', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.06671381579484137
"['b', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.06051095857683075
"['b', 'e', 'f', 'h', 'i', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.07027716415969543
"['b', 'e', 'f', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.06726833627863693
"['b', 'e', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.06359184696513476
"['b', 'e', 'g', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.06651051150327758
"['c', 'd', 'e', 'f', 'g', 'h', 'i', 'k', 'l', 'm', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.04479456376040192
"['c', 'd', 'e', 'f', 'g', 'i', 'j', 'k', 'l', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.0489568670458812
"['c', 'd', 'e', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.04527453944215487
"['c', 'd', 'e', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.044529404488192426
"['c', 'd', 'e', 'g', 'h', 'i', 'j', 'k', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.047121614492910635
"['c', 'd', 'e', 'g', 'i', 'j', 'k', 'l', 'm', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.04681219128276615
"['c', 'd', 'e', 'g', 'i', 'j', 'k', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.05093022807546743
"['c', 'd', 'e', 'g', 'i', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.05768713152682514
"['c', 'd', 'e', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.04867666578623031
"['c', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.051878222691921105
"['c', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.0545922102963996
"['c', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.05480505629729171
"['c', 'e', 'f', 'g', 'h', 'i', 'k', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.06657355280940813
"['c', 'e', 'f', 'g', 'i', 'j', 'k', 'l', 'm', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.05439042039046604
"['c', 'e', 'f', 'g', 'i', 'j', 'k', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.06640584640795044
"['c', 'e', 'f', 'g', 'i', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.061827833358041984
"['c', 'e', 'f', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'p']->a",1.0,1.0,1.0,1.0,False,0.06035322664367415
"['c', 'e', 'f', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.05859299591754197
"['c', 'e', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p']->a",1.0,1.0,1.0,1.0,False,0.05746184391444309
"['c', 'e', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'p', 'q']->a",1.0,1.0,1.0,1.0,False,0.055239328673860055
