threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.001,ncvoter,1,['voter_id']->street_address,0.0,0.0,0.0
0.001,ncvoter,1,['voter_id']->first_name,1.0,1.0,1.0
0.001,ncvoter,1,['voter_id']->full_phone_num,0.0,0.0,0.0
0.001,ncvoter,1,['voter_id']->register_date,1.0,1.0,1.0
0.001,ncvoter,1,['voter_id']->middle_name,0.0,0.0,0.0
0.001,ncvoter,1,['voter_id']->birth_place,1.0,0.0,1.0
0.001,ncvoter,1,['voter_id']->city,1.0,1.0,1.0
0.001,ncvoter,1,['voter_id']->ethnic,1.0,1.0,1.0
0.001,ncvoter,1,['voter_id']->name_prefix,1.0,0.0,1.0
0.001,ncvoter,1,['voter_id']->race,1.0,1.0,1.0
0.001,ncvoter,1,['voter_id']->gender,1.0,1.0,1.0
0.001,ncvoter,1,['voter_id']->name_suffix,1.0,0.0,1.0
0.001,ncvoter,1,['voter_reg_num']->middle_name,0.0,0.0,0.0
0.001,ncvoter,1,['voter_reg_num']->full_phone_num,0.0,0.0,0.0
0.001,ncvoter,1,['voter_reg_num']->street_address,0.0,0.0,0.0
0.001,ncvoter,1,['voter_reg_num']->name_suffix,1.0,0.0,1.0
0.001,ncvoter,1,['street_address']->middle_name,0.0279437053144988,0.0,0.3095238095238095
0.001,ncvoter,1,['street_address']->full_phone_num,0.5636606238034131,0.0,0.9285714285714286
0.001,ncvoter,1,['voter_reg_num']->city,1.0,1.0,1.0
0.001,ncvoter,1,['voter_reg_num']->birth_place,1.0,0.0,1.0
0.001,ncvoter,1,['voter_reg_num']->gender,1.0,1.0,1.0
0.001,ncvoter,1,['street_address']->city,1.0,1.0,1.0
0.001,ncvoter,1,['last_name']->full_phone_num,0.06424518285141,0.0,0.7869318181818182
0.001,ncvoter,1,['voter_reg_num']->ethnic,1.0,1.0,1.0
0.001,ncvoter,1,['street_address']->birth_place,0.6560214875148004,0.0,0.9523809523809524
0.001,ncvoter,1,['street_address']->gender,0.0,0.0,0.2142857142857142
0.001,ncvoter,1,['voter_reg_num']->register_date,1.0,1.0,1.0
