threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->TP_MOD_CONCORRENCIA,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->SG_UF_CANDIDATO,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->NU_NOTACORTE,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->MUNICIPIO_CANDIDATO,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->ST_OPCAO,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->TP_SEXO,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->NU_NOTA_CANDIDATO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->DT_NASCIMENTO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->NU_CPF,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTACORTE']->DS_GRAU,1.0,0.9992207626959764,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTACORTE']->NO_CURSO,1.0,0.99951387452869,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->NU_CLASSIFICACAO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->TP_SEXO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->MUNICIPIO_CANDIDATO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_IES_CURSO']->NO_CURSO,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_CPF']->NO_CURSO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->TP_SEXO,0.0,0.0,0.5023696682464455
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->NO_CURSO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->MUNICIPIO_CANDIDATO,0.0774911434961172,0.0750170944266733,0.2890995260663507
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->SG_UF_CANDIDATO,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->NO_CURSO,0.0073697732371856,0.0008178598640243,0.0710900473933649
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->TP_SEXO,0.0134725543649418,0.0145466475012476,0.5710382513661202
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->SG_UF_CANDIDATO,0.0044307362107525,0.0,0.7061611374407583
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->MUNICIPIO_CANDIDATO,0.0,0.0,0.2295081967213114
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTACORTE']->TP_MOD_CONCORRENCIA,1.0,0.9990711949073264,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->TP_MOD_CONCORRENCIA,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->NO_CURSO,0.0032602185439651,0.0039851116143675,0.0860655737704918
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->TP_MOD_CONCORRENCIA,0.0996821155192754,0.0983188039152498,0.5687203791469194
0.001,sisu_ufpr_curitiba_politecnico,1,['DT_NASCIMENTO']->SG_UF_CANDIDATO,0.0,0.0,0.7117486338797814
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->TP_SEXO,0.0,0.0,0.5810526315789474
0.001,sisu_ufpr_curitiba_politecnico,1,['NO_INSCRITO']->NU_CLASSIFICACAO,0.0,0.0,0.0
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_INSCRICAO_ENEM']->MUNICIPIO_CANDIDATO,0.0076872262036282,0.0061900022796447,0.3087719298245614
0.001,sisu_ufpr_curitiba_politecnico,1,['CO_IES_CURSO']->DS_GRAU,1.0,1.0,1.0
0.001,sisu_ufpr_curitiba_politecnico,1,['MUNICIPIO_CANDIDATO']->SG_UF_CANDIDATO,0.9984113312312136,0.997562711603578,0.9995027349577325
0.001,sisu_ufpr_curitiba_politecnico,1,['NU_NOTA_CANDIDATO']->NU_CLASSIFICACAO,0.0288841345412009,0.0231873573740674,0.0616113744075829
