rfi_prime_plus,mu_plus,g3_prime,fd
1.0,1.0,1.0,['Complaint Precinct Code']->Patrol Borough Name
1.0,1.0,1.0,['Patrol Borough Name']->County
1.0,1.0,1.0,['Full Complaint ID']->County
1.0,1.0,1.0,['Full Complaint ID']->Record Create Date
1.0,1.0,1.0,['Full Complaint ID']->Month Number
1.0,1.0,1.0,['Full Complaint ID']->PD Code Description
1.0,1.0,1.0,['Full Complaint ID']->Offense Description
1.0,1.0,1.0,['Full Complaint ID']->Patrol Borough Name
1.0,1.0,1.0,['Full Complaint ID']->Complaint Precinct Code
1.0,1.0,1.0,['PD Code Description']->Offense Description
1.0,1.0,1.0,['Full Complaint ID']->Complaint Year Number
1.0,1.0,1.0,['Full Complaint ID']->Law Code Category Description
1.0,1.0,1.0,['Full Complaint ID']->Offense Category
1.0,1.0,1.0,['PD Code Description']->Law Code Category Description
1.0,1.0,1.0,['Complaint Precinct Code']->County
0.9985277369214802,0.9983145532475446,0.9988938053097344,['Record Create Date']->Complaint Year Number
0.9953813702946096,0.9949223473908666,0.9962121212121212,['Full Complaint ID']->Bias Motive Description
0.9817741660376956,0.9895048375737958,0.9965912612333436,['Bias Motive Description']->Offense Category
0.9284156997948776,0.9170050650062408,0.9391592920353984,['Record Create Date']->Month Number
0.8374813457997561,0.8430156571405314,0.9438890680425668,"['Bias Motive Description', 'Offense Description']->Law Code Category Description"
0.8328057383719929,0.83669397935465,0.9381508362259388,"['Complaint Year Number', 'Offense Description']->Law Code Category Description"
0.8280434920120401,0.8317524670195082,0.9363117870722434,"['Offense Description', 'Patrol Borough Name']->Law Code Category Description"
0.8276899406238998,0.8301132669651619,0.9365179132620992,"['Offense Category', 'Offense Description']->Law Code Category Description"
0.8268596101585725,0.8298541828707618,0.9365976145637164,"['County', 'Offense Description']->Law Code Category Description"
0.8236464239182535,0.8273452280647056,0.935390549662488,"['Month Number', 'Offense Description']->Law Code Category Description"
0.7629151609885558,0.700118795614499,0.8223911541119557,"['Bias Motive Description', 'County', 'Offense Description']->PD Code Description"
0.7518437993026618,0.6978563912942304,0.8093498904309715,"['Complaint Precinct Code', 'Offense Description']->PD Code Description"
0.7512321150350432,0.6796493554877179,0.8039921465968587,"['County', 'Offense Category', 'Offense Description']->PD Code Description"
0.7455714442529641,0.6723626344305618,0.7994214079074252,"['Month Number', 'Offense Description']->PD Code Description"
0.748416557529555,0.6712074026045536,0.799305774692332,"['Complaint Year Number', 'Offense Description']->PD Code Description"
