threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.001,hate_crimes,1,['Full Complaint ID']->PD Code Description,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Patrol Borough Name,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Offense Description,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Month Number,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Record Create Date,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Complaint Precinct Code,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Complaint Year Number,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->County,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Law Code Category Description,1.000,1.000,1.000
0.001,hate_crimes,1,['Full Complaint ID']->Offense Category,1.000,1.000,1.000
0.001,hate_crimes,1,['Complaint Precinct Code']->County,1.000,1.000,1.000
0.001,hate_crimes,1,['Complaint Precinct Code']->Patrol Borough Name,1.000,1.000,1.000
0.001,hate_crimes,1,['Patrol Borough Name']->County,1.000,1.000,1.000
0.001,hate_crimes,1,['PD Code Description']->Law Code Category Description,1.000,1.000,1.000
0.001,hate_crimes,1,['PD Code Description']->Offense Description,1.000,1.000,1.000
0.01,hate_crimes,1,['Full Complaint ID']->Complaint Precinct Code,1.000,1.000,1.000
0.01,hate_crimes,1,['Full Complaint ID']->Patrol Borough Name,1.000,1.000,1.000
0.01,hate_crimes,1,['Full Complaint ID']->PD Code Description,1.000,1.000,1.000
0.01,hate_crimes,1,['Full Complaint ID']->County,1.000,1.000,1.000
0.01,hate_crimes,1,['Full Complaint ID']->Complaint Year Number,1.000,1.000,1.000
0.01,hate_crimes,1,['Full Complaint ID']->Offense Category,1.000,1.000,1.000
0.01,hate_crimes,1,['Full Complaint ID']->Offense Description,1.000,1.000,1.000
