threshold,dataset,lhs_size,fd,rfi_prime_plus,mu_plus,g3_prime
0.001,wifi_hotspot_location,1,['DOITT_ID']->OBJECTID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Type,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Location_T,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->BCTCB2010,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Postcode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Provider,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->BoroCD,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Longitude,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->BBL,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->SourceID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->BCTCB2010,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Location_T,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Longitude,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Longitude,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Provider,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->BBL,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Provider,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Provider,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Provider,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->BoroCD,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->SourceID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Provider,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->BoroCD,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->BoroCD,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->BoroCD,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Census Tract']->BCTCB2010,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->BoroCD,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Neighborhood Tabulation Area Code (NTACODE)']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Postcode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Type,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Neighborhood Tabulation Area (NTA)']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Type,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Type,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Type,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Type,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Postcode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Location']->Type,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Postcode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Postcode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Postcode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['BoroCode']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Borough Name']->Borough,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Neighborhood Tabulation Area Code (NTACODE)']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Neighborhood Tabulation Area (NTA)']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Borough']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['BoroCode']->Borough Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->DOITT_ID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Council Distrcit,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Council Distrcit,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Council Distrcit,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Council Distrcit,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Council Distrcit,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Council Distrcit,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->BIN,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->BIN,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Census Tract,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Census Tract,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['BCTCB2010']->Census Tract,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->SSID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->SSID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->SSID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->SSID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->SSID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->SSID,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Neighborhood Tabulation Area Code (NTACODE)']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Neighborhood Tabulation Area (NTA)']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Borough']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Borough Name']->BoroCode,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Remarks,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Activated,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Neighborhood Tabulation Area (NTA),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Remarks,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Neighborhood Tabulation Area (NTA),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Activated,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Neighborhood Tabulation Area (NTA),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Activated,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Neighborhood Tabulation Area (NTA),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Activated,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Neighborhood Tabulation Area (NTA),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Activated,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Neighborhood Tabulation Area (NTA),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Activated,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->X,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->X,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Name,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->City,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->City,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->City,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->City,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->City,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->City,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Latitude']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Longitude']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Y']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['Neighborhood Tabulation Area (NTA)']->Neighborhood Tabulation Area Code (NTACODE),1.000,1.000,1.000
0.001,wifi_hotspot_location,1,"['OBJECTID']->Location (Lat, Long)",1.000,1.000,1.000
0.001,wifi_hotspot_location,1,"['X']->Location (Lat, Long)",1.000,1.000,1.000
0.001,wifi_hotspot_location,1,"['DOITT_ID']->Location (Lat, Long)",1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Location,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Location,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Latitude,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Latitude,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Latitude,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['OBJECTID']->Y,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['X']->Y,1.000,1.000,1.000
0.001,wifi_hotspot_location,1,['DOITT_ID']->Y,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Longitude,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Provider,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Postcode,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Type,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->SourceID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->OBJECTID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->BCTCB2010,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Location_T,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->BBL,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Borough,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['OBJECTID']->BoroCD,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->BCTCB2010,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->BBL,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Latitude']->Provider,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Latitude']->Type,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Longitude']->Provider,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Longitude,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Longitude']->Type,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Latitude']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Provider,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Longitude,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Longitude']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Type,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['X']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->SourceID,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Y']->Type,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Y']->Provider,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Y']->Borough Name,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['Census Tract']->BCTCB2010,1.000,1.000,1.000
0.01,wifi_hotspot_location,1,['DOITT_ID']->Provider,1.000,1.000,1.000
