fd,mu_plus,rfi_prime_plus,g3_prime
['Complaint Precinct Code']->Patrol Borough Name,1.000,1.000,1.000
['Patrol Borough Name']->County,1.000,1.000,1.000
['Full Complaint ID']->County,1.000,1.000,1.000
['Full Complaint ID']->Record Create Date,1.000,1.000,1.000
['Full Complaint ID']->Month Number,1.000,1.000,1.000
['Full Complaint ID']->PD Code Description,1.000,1.000,1.000
['Full Complaint ID']->Offense Description,1.000,1.000,1.000
['Full Complaint ID']->Patrol Borough Name,1.000,1.000,1.000
['Full Complaint ID']->Complaint Precinct Code,1.000,1.000,1.000
['PD Code Description']->Offense Description,1.000,1.000,1.000
['Full Complaint ID']->Complaint Year Number,1.000,1.000,1.000
['Full Complaint ID']->Law Code Category Description,1.000,1.000,1.000
['Full Complaint ID']->Offense Category,1.000,1.000,1.000
['PD Code Description']->Law Code Category Description,1.000,1.000,1.000
['Complaint Precinct Code']->County,1.000,1.000,1.000
['Record Create Date']->Complaint Year Number,0.998,0.999,0.999
['Full Complaint ID']->Bias Motive Description,0.995,0.995,0.996
['Bias Motive Description']->Offense Category,0.990,0.982,0.997
['Record Create Date']->Month Number,0.917,0.928,0.939
"['Bias Motive Description', 'Offense Description']->Law Code Category Description",0.843,0.837,0.944
"['Complaint Year Number', 'Offense Description']->Law Code Category Description",0.837,0.833,0.938
"['Offense Description', 'Patrol Borough Name']->Law Code Category Description",0.832,0.828,0.936
"['Offense Category', 'Offense Description']->Law Code Category Description",0.830,0.828,0.937
"['County', 'Offense Description']->Law Code Category Description",0.830,0.827,0.937
"['Month Number', 'Offense Description']->Law Code Category Description",0.827,0.824,0.935
"['Bias Motive Description', 'County', 'Offense Description']->PD Code Description",0.700,0.763,0.822
"['Complaint Precinct Code', 'Offense Description']->PD Code Description",0.698,0.752,0.809
"['County', 'Offense Category', 'Offense Description']->PD Code Description",0.680,0.751,0.804
"['Month Number', 'Offense Description']->PD Code Description",0.672,0.746,0.799
"['Complaint Year Number', 'Offense Description']->PD Code Description",0.671,0.748,0.799
