fd,mu_plus,rfi_prime_plus,g3_prime
['CO_IES_CURSO']->NO_CURSO,1.000,1.000,1.000
['NO_INSCRITO']->SG_UF_CANDIDATO,1.000,1.000,1.000
['NU_CPF']->TP_MOD_CONCORRENCIA,1.000,1.000,1.000
['NO_INSCRITO']->ST_OPCAO,1.000,1.000,1.000
['NU_CPF']->SG_UF_CANDIDATO,1.000,1.000,1.000
['NU_CPF']->MUNICIPIO_CANDIDATO,1.000,1.000,1.000
['CO_IES_CURSO']->DS_GRAU,1.000,1.000,1.000
['NO_INSCRITO']->TP_SEXO,1.000,1.000,1.000
['NU_NOTACORTE']->CO_IES_CURSO,1.000,1.000,1.000
['NU_NOTACORTE']->NO_CURSO,1.000,1.000,1.000
['NU_NOTACORTE']->DS_TURNO,0.999,1.000,1.000
['NU_NOTACORTE']->DS_GRAU,0.999,1.000,1.000
['NU_NOTACORTE']->TP_MOD_CONCORRENCIA,0.999,1.000,1.000
['MUNICIPIO_CANDIDATO']->SG_UF_CANDIDATO,0.998,0.998,1.000
['NO_CURSO']->DS_GRAU,0.961,0.970,0.978
['CO_IES_CURSO']->DS_TURNO,0.904,0.923,0.947
['NO_CURSO']->CO_IES_CURSO,0.865,0.940,0.899
['NO_CURSO']->DS_TURNO,0.696,0.754,0.846
"['CO_IES_CURSO', 'DS_GRAU', 'DS_TURNO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.608,0.801,0.676
"['CO_IES_CURSO', 'DS_TURNO', 'NO_CURSO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.608,0.801,0.676
"['DS_GRAU', 'DS_TURNO', 'NO_CURSO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.608,0.801,0.676
"['DS_TURNO', 'NO_CURSO', 'TP_MOD_CONCORRENCIA', 'TP_SEXO']->NU_NOTACORTE",0.605,0.779,0.677
"['CO_IES_CURSO', 'DS_TURNO', 'TP_MOD_CONCORRENCIA', 'TP_SEXO']->NU_NOTACORTE",0.605,0.779,0.677
"['CO_IES_CURSO', 'SG_UF_CANDIDATO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.578,0.769,0.652
"['CO_IES_CURSO', 'ST_OPCAO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.575,0.757,0.645
"['CO_ETAPA', 'CO_IES_CURSO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.574,0.780,0.645
"['CO_CAMPUS', 'CO_IES_CURSO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.574,0.780,0.645
"['CO_IES_CURSO', 'NU_ANO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.574,0.780,0.645
"['CO_IES_CURSO', 'NO_MUNUCIPIO_CAMPUS', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.574,0.780,0.645
"['CO_IES_CURSO', 'DS_GRAU', 'NO_CURSO', 'TP_MOD_CONCORRENCIA']->NU_NOTACORTE",0.574,0.780,0.645
